ds,id_pais,pred_neutro,pred_kpi2,pred_kpi3,pred_kpi4
2000-01-01,ATG,74.6058,74.6058,74.6058,74.6058
2001-01-01,ATG,75.07810000000002,75.07810000000002,75.07810000000002,75.07810000000002
2002-01-01,ATG,75.5357,75.5357,75.5357,75.5357
2003-01-01,ATG,75.4778,75.4778,75.4778,75.4778
2004-01-01,ATG,75.67210000000001,75.67210000000001,75.67210000000001,75.67210000000001
2005-01-01,ATG,75.82540000000002,75.82540000000002,75.82540000000002,75.82540000000002
2006-01-01,ATG,75.76470000000002,75.76470000000002,75.76470000000002,75.76470000000002
2007-01-01,ATG,76.13110000000002,76.13110000000002,76.13110000000002,76.13110000000002
2008-01-01,ATG,76.4103,76.4103,76.4103,76.4103
2009-01-01,ATG,76.66940000000001,76.66940000000001,76.66940000000001,76.66940000000001
2010-01-01,ATG,76.81950000000002,76.81950000000002,76.81950000000002,76.81950000000002
2011-01-01,ATG,77.10380000000004,77.10380000000004,77.10380000000004,77.10380000000004
2012-01-01,ATG,77.35020000000002,77.35020000000002,77.35020000000002,77.35020000000002
2013-01-01,ATG,77.58340000000001,77.58340000000001,77.58340000000001,77.58340000000001
2014-01-01,ATG,77.85770000000002,77.85770000000002,77.85770000000002,77.85770000000002
2015-01-01,ATG,77.91270000000003,77.91270000000003,77.91270000000003,77.91270000000003
2016-01-01,ATG,78.15160000000003,78.15160000000003,78.15160000000003,78.15160000000003
2017-01-01,ATG,78.26830000000001,78.26830000000001,78.26830000000001,78.26830000000001
2018-01-01,ATG,78.51120000000003,78.51120000000003,78.51120000000003,78.51120000000003
2019-01-01,ATG,78.69120000000001,78.69120000000001,78.69120000000001,78.69120000000001
2019-12-31,ATG,79.03457112919872,78.88732339037546,78.83279382683722,-13507.563435306885
2020-12-31,ATG,79.2222840359706,79.08503730218968,79.03050773865144,-13507.368574550197
2021-12-31,ATG,79.45255865893003,79.32323656143544,79.26870699789721,-13507.130819324391
2022-12-31,ATG,79.68183354688692,79.56717023693285,79.51264067339461,-13506.896862465564
2023-12-31,ATG,79.90631865137202,79.79744623826107,79.74291667472285,-13506.671144106058
2024-12-31,ATG,80.11964479590088,80.02326750634452,79.96873794280629,-13506.455705815386
2025-12-31,ATG,80.31836582948172,80.24039496759967,80.18586540406143,-13506.264417282351
2000-01-01,ARG,74.02400950203247,74.02400950203247,74.02400950203247,74.02400950203247
2001-01-01,ARG,74.12116541930062,74.12116541930062,74.12116541930062,74.12116541930062
2002-01-01,ARG,74.21614289928898,74.21614289928898,74.21614289928898,74.21614289928898
2003-01-01,ARG,74.37617543628166,74.37617543628166,74.37617543628166,74.37617543628166
2004-01-01,ARG,74.73646762884557,74.73646762884557,74.73646762884557,74.73646762884557
2005-01-01,ARG,75.10145419551108,75.10145419551108,75.10145419551108,75.10145419551108
2006-01-01,ARG,75.41363424623395,75.41363424623395,75.41363424623395,75.41363424623395
2007-01-01,ARG,75.09998840730968,75.09998840730968,75.09998840730968,75.09998840730968
2008-01-01,ARG,75.47169588488157,75.47169588488157,75.47169588488157,75.47169588488157
2009-01-01,ARG,75.90775416684352,75.90775416684352,75.90775416684352,75.90775416684352
2010-01-01,ARG,75.92812307182163,75.92812307182163,75.92812307182163,75.92812307182163
2011-01-01,ARG,76.20609055242129,76.20609055242129,76.20609055242129,76.20609055242129
2012-01-01,ARG,76.35701471990586,76.35701471990586,76.35701471990586,76.35701471990586
2013-01-01,ARG,76.45212331805078,76.45212331805078,76.45212331805078,76.45212331805078
2014-01-01,ARG,76.52442997039923,76.52442997039923,76.52442997039923,76.52442997039923
2015-01-01,ARG,76.71619511447778,76.71619511447778,76.71619511447778,76.71619511447778
2016-01-01,ARG,76.74664990610593,76.74664990610593,76.74664990610593,76.74664990610593
2017-01-01,ARG,76.78685242840791,76.78685242840791,76.78685242840791,76.78685242840791
2018-01-01,ARG,76.97655474843671,76.97655474843671,76.97655474843671,76.97655474843671
2019-01-01,ARG,77.18916702050883,77.18916702050883,77.18916702050883,77.18916702050883
2019-12-31,ARG,79.46431435164139,79.45520720874403,79.4808969837233,77.99304111267183
2020-12-31,ARG,79.73892383820498,79.72779926772904,79.75348904270832,78.28945459883785
2021-12-31,ARG,80.01811654641503,80.00756628334538,80.03325605832465,78.59624242764703
2022-12-31,ARG,80.31599470093026,80.30726930705924,80.33295908203851,78.91802464616578
2023-12-31,ARG,80.6442520196901,80.6349700084584,80.66065978343767,79.26711210710646
2024-12-31,ARG,80.9558380921954,80.94978728296476,80.97547705794403,79.59457313098027
2025-12-31,ARG,81.28346831952005,81.27677052385266,81.30246029883193,79.93969896184026
2000-01-01,BRB,74.0891,74.0891,74.0891,74.0891
2001-01-01,BRB,74.24669999999999,74.24669999999999,74.24669999999999,74.24669999999999
2002-01-01,BRB,74.36559999999999,74.36559999999999,74.36559999999999,74.36559999999999
2003-01-01,BRB,74.47169999999998,74.47169999999998,74.47169999999998,74.47169999999998
2004-01-01,BRB,74.7268,74.7268,74.7268,74.7268
2005-01-01,BRB,74.89009999999995,74.89009999999995,74.89009999999995,74.89009999999995
2006-01-01,BRB,75.06830000000001,75.06830000000001,75.06830000000001,75.06830000000001
2007-01-01,BRB,75.34239999999998,75.34239999999998,75.34239999999998,75.34239999999998
2008-01-01,BRB,75.44709999999998,75.44709999999998,75.44709999999998,75.44709999999998
2009-01-01,BRB,75.67800000000003,75.67800000000003,75.67800000000003,75.67800000000003
2010-01-01,BRB,75.71150000000002,75.71150000000002,75.71150000000002,75.71150000000002
