id_pais,year,densidad_poblacion
VEN,2020,32.2384706082422
VEN,2019,32.3290391701151
VEN,2018,32.7499767586871
VEN,2017,33.3342554276968
VEN,2016,33.8430349753415
VEN,2015,34.1044464599512
VEN,2014,34.0603968029023
VEN,2013,33.7634442491922
VEN,2012,33.2870324811519
VEN,2011,32.7508338529562
VEN,2010,32.2430043648319
VEN,2009,31.7793889235304
VEN,2008,31.331361033955
VEN,2007,30.8912204523553
VEN,2006,30.4406666288759
VEN,2005,29.9670596904937
VEN,2004,29.4729255711128
VEN,2003,28.9684530355422
VEN,2002,28.4568981350264
VEN,2001,27.9422606428207
VEN,2000,27.4275256504733
URY,2020,19.8476002742544
URY,2019,19.779059536053
URY,2018,19.7079762312879
URY,2017,19.6357273454462
URY,2016,19.5642726545538
URY,2015,19.4949891440978
URY,2014,19.4288595589076
URY,2013,19.3659924580048
URY,2012,19.3062221460405
URY,2011,19.2488058507599
URY,2010,19.1936521540395
URY,2009,19.1388184207519
URY,2008,19.0847960233116
URY,2007,19.0364129813736
URY,2006,19.0001314135527
URY,2005,18.9795394812021
URY,2004,18.9777511141584
URY,2003,18.9901782653411
URY,2002,19.0038052793966
URY,2001,19.0005199405782
URY,2000,18.9677408296195
USA,2020,36.2398446775156
USA,2019,35.8931756713915
USA,2018,35.7300964643583
USA,2017,35.5424948236771
USA,2016,35.3183471405052
USA,2015,35.0633286762825
USA,2014,34.8061342979769
USA,2013,34.5518131888554
USA,2012,34.3132448275033
USA,2011,34.0624439459432
USA,2010,33.8157800778799
USA,2009,33.5363992251367
USA,2008,33.2436868537795
USA,2007,32.8786113609374
USA,2006,32.5673998463204
USA,2005,32.2548765979183
USA,2004,31.9589450682826
USA,2003,31.6645346171981
USA,2002,31.3935499327652
USA,2001,31.1036283879362
USA,2000,30.7973013298523
TTO,2020,272.805263157895
TTO,2019,271.923781676413
TTO,2018,270.924171539961
TTO,2017,269.797270955166
TTO,2016,268.530799220273
TTO,2015,267.121247563353
TTO,2014,265.562768031189
TTO,2013,263.880701754386
TTO,2012,262.146978557505
TTO,2011,260.463937621832
TTO,2010,258.89746588694
TTO,2009,257.489473684211
TTO,2008,256.227875243665
TTO,2007,255.058479532164
TTO,2006,253.908771929825
TTO,2005,252.728460038986
TTO,2004,251.48440545809
TTO,2003,250.207407407407
TTO,2002,248.968810916179
TTO,2001,247.880506822612
TTO,2000,247.00955165692
BHS,2020,39.2855144855145
BHS,2019,38.9096903096903
BHS,2018,38.524975024975
BHS,2017,38.1367632367632
BHS,2016,37.7545454545455
BHS,2015,37.3826173826174
BHS,2014,37.0254745254745
BHS,2013,36.6795204795205
BHS,2012,36.3217782217782
BHS,2011,35.9223776223776
BHS,2010,35.4581418581419
BHS,2009,34.9250749250749
BHS,2008,34.3336663336663
BHS,2007,33.704995004995
BHS,2006,33.0701298701299
BHS,2005,32.4523476523477
BHS,2004,31.8574425574426
BHS,2003,31.281018981019
BHS,2002,30.734965034965
BHS,2001,30.2315684315684
BHS,2000,29.7747252747253
SUR,2020,3.76047435897436
SUR,2019,3.7266858974359
SUR,2018,3.69222435897436
SUR,2017,3.65705769230769
SUR,2016,3.62104487179487
SUR,2015,3.58420512820513
SUR,2014,3.54665384615385
SUR,2013,3.50830128205128
SUR,2012,3.46953205128205
SUR,2011,3.43062179487179
SUR,2010,3.39183333333333
SUR,2009,3.35328846153846
SUR,2008,3.31488461538462
SUR,2007,3.27680128205128
SUR,2006,3.23905128205128
SUR,2005,3.20167307692308
SUR,2004,3.16461538461538
SUR,2003,3.12780769230769
SUR,2002,3.09120512820513
SUR,2001,3.05496153846154
SUR,2000,3.01887179487179
VCT,2020,284.479487179487
VCT,2019,283.571794871795
VCT,2018,282.589743589744
VCT,2017,281.605128205128
VCT,2016,280.684615384615
VCT,2015,279.833333333333
VCT,2014,279.148717948718
VCT,2013,278.523076923077
VCT,2012,278.038461538462
VCT,2011,277.730769230769
VCT,2010,277.589743589744
VCT,2009,277.674358974359
VCT,2008,277.951282051282
VCT,2007,278.246153846154
VCT,2006,278.466666666667
VCT,2005,278.505128205128
VCT,2004,278.25641025641
VCT,2003,277.748717948718
VCT,2002,277.166666666667
VCT,2001,276.648717948718
VCT,2000,276.376923076923
LCA,2020,301.031147540984
LCA,2019,299.66393442623
LCA,2018,298.180327868852
LCA,2017,296.647540983607
LCA,2016,295.127868852459
LCA,2015,293.65737704918
LCA,2014,292.306557377049
LCA,2013,290.991803278689
LCA,2012,289.596721311475
LCA,2011,287.767213114754
LCA,2010,285.396721311475
LCA,2009,282.332786885246
LCA,2008,278.706557377049
LCA,2007,274.826229508197
LCA,2006,271.111475409836
LCA,2005,267.881967213115
LCA,2004,265.280327868852
LCA,2003,263.16393442623
LCA,2002,261.298360655738
LCA,2001,259.318032786885
LCA,2000,256.945901639344
KNA,2020,204.584615384615
KNA,2019,203.207692307692
KNA,2018,201.684615384615
KNA,2017,200.138461538462
KNA,2016,198.573076923077
KNA,2015,196.938461538462
KNA,2014,195.292307692308
KNA,2013,193.569230769231
KNA,2012,191.85
KNA,2011,190.161538461538
KNA,2010,188.503846153846
KNA,2009,186.919230769231
KNA,2008,185.3
KNA,2007,183.726923076923
KNA,2006,182.05
KNA,2005,180.2
KNA,2004,178.165384615385
KNA,2003,175.957692307692
KNA,2002,173.723076923077
KNA,2001,171.546153846154
KNA,2000,169.55
PER,2020,25.7592546875
PER,2019,25.3987984375
PER,2018,24.99161328125
PER,2017,24.56585859375
PER,2016,24.160965625
PER,2015,23.80526484375
PER,2014,23.508103125
PER,2013,23.2609265625
PER,2012,23.0521796875
PER,2011,22.8627453125
PER,2010,22.677875
PER,2009,22.49426796875
PER,2008,22.31431328125
PER,2007,22.1351953125
PER,2006,21.95473046875
PER,2005,21.770421875
PER,2004,21.5814265625
PER,2003,21.38454453125
PER,2002,21.172628125
PER,2001,20.93694453125
PER,2000,20.67183125
PRY,2020,17.9525044047319
PRY,2019,17.731283664737
PRY,2018,17.5083538887491
PRY,2017,17.2843141203121
PRY,2016,17.0598489806192
PRY,2015,16.8355046564309
PRY,2014,16.6109338031714
PRY,2013,16.3862899572112
PRY,2012,16.1628744022149
PRY,2011,15.9425648124843
PRY,2010,15.7261943116033
PRY,2009,15.5146488799396
PRY,2008,15.306559275107
PRY,2007,15.0979864082557
PRY,2006,14.8834935816763
PRY,2005,14.6591870123333
PRY,2004,14.4237503146237
PRY,2003,14.1781600805437
PRY,2002,13.9238811980871
PRY,2001,13.6633324943368
PRY,2000,13.3984445003775
PAN,2020,58.1661903478026
PAN,2019,57.2450795362631
PAN,2018,56.3071987058506
PAN,2017,55.4069616837561
PAN,2016,54.4667161359957
PAN,2015,53.5414193200216
PAN,2014,52.6350647598489
PAN,2013,51.5933145009416
PAN,2012,50.721482378262
PAN,2011,49.8584745762712
PAN,2010,49.0004170029594
PAN,2009,48.1465563626581
PAN,2008,47.2989507667474
PAN,2007,46.4577750874361
PAN,2006,45.6237960721012
PAN,2005,44.7971751412429
PAN,2004,43.9784234597794
PAN,2003,43.1672854452515
PAN,2002,42.3620527306968
