id_pais,year,agotamiento_recursos
VEN,2020,
VEN,2019,
VEN,2018,
VEN,2017,
VEN,2016,
VEN,2015,
VEN,2014,1.03466253552791
VEN,2013,1.54809870594438
VEN,2012,1.62623697497367
VEN,2011,2.13287680273407
VEN,2010,1.1828646065355
VEN,2009,1.54905597082902
VEN,2008,4.3038824187731
VEN,2007,7.23343903987093
VEN,2006,10.4492506679684
VEN,2005,11.7073245137305
VEN,2004,10.3272151977613
VEN,2003,8.18866051682951
VEN,2002,6.66640426210849
VEN,2001,5.2078480803639
VEN,2000,7.23389961453656
URY,2020,0.0116249256813325
URY,2019,0.0
URY,2018,0.00670081188063002
URY,2017,0.0168667417685875
URY,2016,0.0196762083992183
URY,2015,0.0201812804678699
URY,2014,0.0323343012788962
URY,2013,0.049991033305677
URY,2012,0.0803094370762386
URY,2011,0.0812440328584292
URY,2010,0.0717183727470517
URY,2009,0.0814709435557136
URY,2008,0.070499237291154
URY,2007,0.10001174683318
URY,2006,0.121956066257804
URY,2005,0.0943817945572319
URY,2004,0.0747666324643752
URY,2003,0.0331163914099607
URY,2002,0.0233188302965241
URY,2001,0.0580990862499868
URY,2000,0.188978300146727
USA,2020,0.208381607974843
USA,2019,0.343224658579123
USA,2018,0.373788012285659
USA,2017,0.190493439312771
USA,2016,0.114137730593181
USA,2015,0.0453195024080081
USA,2014,0.346828955703534
USA,2013,0.405356134768413
USA,2012,0.383797216966557
USA,2011,0.598535378565947
USA,2010,0.433328380551026
USA,2009,0.355290117541277
USA,2008,1.00676470794395
USA,2007,0.60784030808521
USA,2006,0.645057246227502
USA,2005,0.788385819109957
USA,2004,0.718036330906295
USA,2003,0.514008118113693
USA,2002,0.346566498781973
USA,2001,0.552342327778806
USA,2000,0.678867775951828
TTO,2020,4.84861118570822
TTO,2019,7.12003594850838
TTO,2018,9.17103836558167
TTO,2017,5.83928679183805
TTO,2016,3.50501622106779
TTO,2015,5.23590597765084
TTO,2014,9.56550146941623
TTO,2013,12.4182400761965
TTO,2012,13.2567495934065
TTO,2011,12.65233686238
TTO,2010,11.0098662128695
TTO,2009,11.6738740744118
TTO,2008,11.42353478865
TTO,2007,11.9876171860813
TTO,2006,14.5581033015462
TTO,2005,13.0617172982464
TTO,2004,9.08261778311903
TTO,2003,9.7086896162197
TTO,2002,8.30823283820452
TTO,2001,7.28646244061859
TTO,2000,11.2630255727472
BHS,2020,0.0189395638577938
BHS,2019,0.0130775412648061
BHS,2018,0.0140290039157158
BHS,2017,0.0180641036631009
BHS,2016,0.0180362406613073
BHS,2015,0.0148463174863833
BHS,2014,0.0183954682376565
BHS,2013,0.0150551146453392
BHS,2012,0.0126560297220335
BHS,2011,0.0135344925962581
BHS,2010,0.0156157306093739
BHS,2009,0.00874837842715501
BHS,2008,0.00886505828752928
BHS,2007,0.00803952200317888
BHS,2006,0.00756404286145263
BHS,2005,0.0063031347032737
BHS,2004,0.00642106126492306
BHS,2003,0.00724360377738982
BHS,2002,0.00819777935717137
BHS,2001,0.00689029080264733
BHS,2000,0.00666187843052723
SUR,2020,8.67489176251817
SUR,2019,7.13978271656339
SUR,2018,8.07587832112862
SUR,2017,17.987418824508
SUR,2016,12.4442314464669
SUR,2015,4.03637796099648
SUR,2014,10.228395149299
SUR,2013,16.4316675480897
SUR,2012,23.1489841060061
SUR,2011,25.2812893941913
SUR,2010,16.505416260682
SUR,2009,7.8475234423178
SUR,2008,10.9344663004995
SUR,2007,8.5223070360525
SUR,2006,7.89405569769394
SUR,2005,9.46558429058114
SUR,2004,5.29551311890941
SUR,2003,3.96924392508277
SUR,2002,5.70807346970493
SUR,2001,8.46725073218112
SUR,2000,8.38491101411411
VCT,2020,0.0273109046966447
VCT,2019,0.0199726052395534
VCT,2018,0.0221243048788715
VCT,2017,0.0340239568807981
VCT,2016,0.0408596253412746
VCT,2015,0.0311359547015342
VCT,2014,0.0428035580427746
VCT,2013,0.0296768405632186
VCT,2012,0.0249467085659093
VCT,2011,0.0262614368519101
VCT,2010,0.0301392459119702
VCT,2009,0.0132445988516154
VCT,2008,0.0142418882467868
VCT,2007,0.0135233068274545
VCT,2006,0.0147483981276005
VCT,2005,0.0112177640866618
VCT,2004,0.0123021180300918
VCT,2003,0.0126673478971914
VCT,2002,0.0121753791113307
VCT,2001,0.0144975783029627
VCT,2000,0.0158490410908949
LCA,2020,0.0190748208838097
LCA,2019,0.0109436476609968
LCA,2018,0.0125944093337277
LCA,2017,0.0199333109547773
LCA,2016,0.0258146323575517
LCA,2015,0.0203775730297201
LCA,2014,0.027004232967171
LCA,2013,0.0197768003634079
LCA,2012,0.0168111937850281
LCA,2011,0.0173922853979177
LCA,2010,0.0219789275888195
LCA,2009,0.010260737058243
LCA,2008,0.0112019127553633
LCA,2007,0.0113542590559363
LCA,2006,0.0114945773646827
LCA,2005,0.0095211419792236
LCA,2004,0.0105140825576879
LCA,2003,0.0107501125595454
LCA,2002,0.0108793178152879
LCA,2001,0.0122945241954651
LCA,2000,0.0115452423159082
KNA,2020,
KNA,2019,
KNA,2018,
KNA,2017,
KNA,2016,
KNA,2015,
KNA,2014,
KNA,2013,
KNA,2012,
KNA,2011,
KNA,2010,
KNA,2009,
KNA,2008,
KNA,2007,
KNA,2006,
KNA,2005,
KNA,2004,
KNA,2003,
KNA,2002,
KNA,2001,
KNA,2000,
PER,2020,1.17818809383959
PER,2019,2.3772391641384
PER,2018,3.86749109315933
PER,2017,3.63013091868817
PER,2016,2.94507549134835
PER,2015,2.31100432990012
PER,2014,3.11939260043686
