id_pais,year,emisiones_co2
VEN,2020,
VEN,2019,3.93956620857458
VEN,2018,4.57401148348632
VEN,2017,4.78939216434189
VEN,2016,5.06076001457155
VEN,2015,5.42287557477187
VEN,2014,5.96612077949689
VEN,2013,6.05855122334457
VEN,2012,6.16910432675527
VEN,2011,5.54004073910644
VEN,2010,5.77005417604283
VEN,2009,5.44361392393249
VEN,2008,5.46790224914753
VEN,2007,5.22578113903121
VEN,2006,5.4945607006616
VEN,2005,5.57572350506406
VEN,2004,5.37031891986896
VEN,2003,5.31355675367096
VEN,2002,5.60747879506496
VEN,2001,5.50991661240264
VEN,2000,5.43640703758433
URY,2020,
URY,2019,1.87478454308499
URY,2018,1.89604236287846
URY,2017,1.77498691445656
URY,2016,1.90412830230505
URY,2015,1.94606523084338
URY,2014,1.91151789518942
URY,2013,2.17145275305815
URY,2012,2.52147484304077
URY,2011,2.2588801693817
URY,2010,1.86945217307684
URY,2009,2.28977372029234
URY,2008,2.32020575884051
URY,2007,1.75583241153608
URY,2006,1.90352866215194
URY,2005,1.63164600756817
URY,2004,1.64384255665897
URY,2003,1.3509198955965
URY,2002,1.36197761841188
URY,2001,1.4885109507796
URY,2000,1.64471008821791
USA,2020,
USA,2019,14.6734106066885
USA,2018,15.2225476514566
USA,2017,14.8232608676439
USA,2016,15.1498852011993
USA,2015,15.5600349639355
USA,2014,16.0409210313094
USA,2013,16.1111844319086
USA,2012,15.7897826401987
USA,2011,16.6042181730945
USA,2010,17.4317384856241
USA,2009,16.8086986187732
USA,2008,18.2784944927598
USA,2007,19.0429135193113
USA,2006,18.9459137521463
USA,2005,19.46926248422
USA,2004,19.5976305014211
USA,2003,19.5064994461044
USA,2002,19.4455490036168
USA,2001,20.1715306146243
USA,2000,20.4698066603918
TTO,2020,
TTO,2019,12.3228548692176
TTO,2018,12.7928307530469
TTO,2017,13.1858445443117
TTO,2016,13.2915877284323
TTO,2015,15.5655709154468
TTO,2014,16.1780828939736
TTO,2013,16.4067871981791
TTO,2012,16.0022132858252
TTO,2011,16.6594322837356
TTO,2010,16.1578858049072
TTO,2009,14.4141859471742
TTO,2008,15.2307167929404
TTO,2007,15.667392716573
TTO,2006,15.4005363823804
TTO,2005,13.5673280791146
TTO,2004,12.4795079364783
TTO,2003,12.0367973932465
TTO,2002,9.9278899360135
TTO,2001,9.13789971430302
TTO,2000,8.04950286428144
BHS,2020,
BHS,2019,7.29166109736758
BHS,2018,7.26075162346851
BHS,2017,5.68436348567763
BHS,2016,5.39792487319647
BHS,2015,5.90593275827624
BHS,2014,6.79932541228063
BHS,2013,7.65329729868434
BHS,2012,9.76398643580462
BHS,2011,7.14716750581312
BHS,2010,5.86021120344527
BHS,2009,17.6487416369964
BHS,2008,6.40130367691958
BHS,2007,6.28358497973864
BHS,2006,6.34379729039057
BHS,2005,6.49534519250797
BHS,2004,7.0556581674731
BHS,2003,7.60084731699977
BHS,2002,7.80089546269849
BHS,2001,7.33598133620604
BHS,2000,7.48209163045849
SUR,2020,
SUR,2019,4.55825378527259
SUR,2018,3.83689221830869
SUR,2017,4.38211326535799
SUR,2016,5.22232045872105
SUR,2015,4.86464836571108
SUR,2014,4.73541309352456
SUR,2013,4.18421502453527
SUR,2012,4.50810823380168
SUR,2011,3.6436544314941
SUR,2010,3.2884417124404
SUR,2009,2.77186773734111
SUR,2008,2.82331836229549
SUR,2007,2.75831841680618
SUR,2006,3.02795209777667
SUR,2005,3.38364768664713
SUR,2004,2.81558901655909
SUR,2003,2.52081210947598
SUR,2002,2.32255282722772
SUR,2001,3.18943123208568
SUR,2000,3.14262417612285
VCT,2020,
VCT,2019,2.35096245208338
VCT,2018,2.26839669721441
VCT,2017,2.09422180697034
VCT,2016,2.37514493375407
VCT,2015,2.29074082558299
VCT,2014,2.48006770335485
VCT,2013,2.1173958257137
VCT,2012,3.31996139904196
VCT,2011,2.49272963789721
VCT,2010,2.30925549602808
VCT,2009,8.21844427335917
VCT,2008,2.30625178734514
VCT,2007,2.48811245096424
VCT,2006,2.30198338888787
VCT,2005,2.30166548514505
VCT,2004,2.30372281607077
VCT,2003,2.12329909134179
VCT,2002,2.12775802925505
VCT,2001,1.85368837644704
VCT,2000,1.48440906602837
LCA,2020,
LCA,2019,2.95412905964426
LCA,2018,2.91384887233917
LCA,2017,2.92890481826847
LCA,2016,2.83289260816793
LCA,2015,2.79125332856959
LCA,2014,2.86023538314961
LCA,2013,2.87315844885078
LCA,2012,4.24558741947536
LCA,2011,3.36109545382741
LCA,2010,3.04436718166125
LCA,2009,7.9548028124488
LCA,2008,2.88216650414822
LCA,2007,2.86321007176615
LCA,2006,2.90244161418788
LCA,2005,2.69264661225775
LCA,2004,2.78085037219564
LCA,2003,2.80321427819766
LCA,2002,2.69775150040502
LCA,2001,2.65513579123047
LCA,2000,2.48824463910883
KNA,2020,
KNA,2019,4.73180149146383
KNA,2018,4.76753499370685
KNA,2017,4.61219145659893
KNA,2016,4.64855012949277
KNA,2015,4.68713371290489
KNA,2014,4.52969915259818
KNA,2013,4.57002074734392
KNA,2012,6.81622268150757
KNA,2011,5.66320135091811
KNA,2010,4.89685977914309
KNA,2009,14.4035883059131
KNA,2008,5.18909045622483
KNA,2007,5.23351964663275
KNA,2006,4.85918923736769
KNA,2005,4.69563730060418
KNA,2004,5.18101147670881
KNA,2003,5.0274323848024
KNA,2002,5.09210069456972
KNA,2001,4.70830904443747
KNA,2000,4.31005149377311
PER,2020,
PER,2019,1.74559192668502
PER,2018,1.70650998554008
PER,2017,1.72590905772025
