id_pais,year,poblacion
NIC,2014,6142734.0
NIC,2013,6062462.0
NIC,2012,5982530.0
NIC,2011,5903035.0
NIC,2010,5824058.0
NIC,2009,5745538.0
NIC,2008,5667436.0
NIC,2007,5590066.0
NIC,2006,5513757.0
NIC,2005,5438692.0
NIC,2004,5364930.0
NIC,2003,5292115.0
NIC,2002,5219324.0
NIC,2001,5145367.0
NIC,2000,5069310.0
MEX,2020,128932753.0
MEX,2019,127575529.0
MEX,2018,126190782.0
MEX,2017,124777326.0
MEX,2016,123333379.0
MEX,2015,121858251.0
MEX,2014,120355137.0
MEX,2013,118827158.0
MEX,2012,117274156.0
MEX,2011,115695468.0
MEX,2010,114092961.0
MEX,2009,112463886.0
MEX,2008,110815272.0
MEX,2007,109170503.0
MEX,2006,107560155.0
MEX,2005,106005199.0
MEX,2004,104514934.0
MEX,2003,103081020.0
MEX,2002,101684764.0
MEX,2001,100298152.0
MEX,2000,98899845.0
JAM,2020,2961161.0
JAM,2019,2948277.0
JAM,2018,2934853.0
JAM,2017,2920848.0
JAM,2016,2906242.0
JAM,2015,2891024.0
JAM,2014,2875137.0
JAM,2013,2858710.0
JAM,2012,2842128.0
JAM,2011,2825932.0
JAM,2010,2810464.0
JAM,2009,2795839.0
JAM,2008,2781869.0
JAM,2007,2768229.0
JAM,2006,2754414.0
JAM,2005,2740000.0
JAM,2004,2725017.0
JAM,2003,2709438.0
JAM,2002,2692843.0
JAM,2001,2674706.0
JAM,2000,2654698.0
HND,2020,9904608.0
HND,2019,9746115.0
HND,2018,9587523.0
HND,2017,9429016.0
HND,2016,9270794.0
HND,2015,9112904.0
HND,2014,8955579.0
HND,2013,8798524.0
HND,2012,8640692.0
HND,2011,8480670.0
HND,2010,8317467.0
HND,2009,8150780.0
HND,2008,7980955.0
HND,2007,7808520.0
HND,2006,7634295.0
HND,2005,7458982.0
HND,2004,7282953.0
HND,2003,7106323.0
HND,2002,6929267.0
HND,2001,6751912.0
HND,2000,6574510.0
HTI,2020,11402533.0
HTI,2019,11263079.0
HTI,2018,11123183.0
HTI,2017,10982367.0
HTI,2016,10839976.0
HTI,2015,10695540.0
HTI,2014,10549007.0
HTI,2013,10400672.0
HTI,2012,10250922.0
HTI,2011,10100320.0
HTI,2010,9949318.0
HTI,2009,9798046.0
HTI,2008,9646570.0
HTI,2007,9495336.0
HTI,2006,9344784.0
HTI,2005,9195289.0
HTI,2004,9047082.0
HTI,2003,8900108.0
HTI,2002,8754148.0
HTI,2001,8608810.0
HTI,2000,8463802.0
GUY,2020,786559.0
GUY,2019,782775.0
GUY,2018,779007.0
GUY,2017,775218.0
GUY,2016,771363.0
GUY,2015,767433.0
GUY,2014,763371.0
GUY,2013,759281.0
GUY,2012,755388.0
GUY,2011,752029.0
GUY,2010,749430.0
GUY,2009,747718.0
GUY,2008,746815.0
GUY,2007,746477.0
GUY,2006,746335.0
GUY,2005,746156.0
GUY,2004,745737.0
GUY,2003,745142.0
GUY,2002,744789.0
GUY,2001,745206.0
GUY,2000,746718.0
GTM,2020,16858333.0
GTM,2019,16604026.0
GTM,2018,16346950.0
GTM,2017,16087418.0
GTM,2016,15827690.0
GTM,2015,15567419.0
GTM,2014,15306316.0
GTM,2013,15043981.0
GTM,2012,14781942.0
GTM,2011,14521515.0
GTM,2010,14259687.0
GTM,2009,14000190.0
GTM,2008,13739299.0
GTM,2007,13477017.0
GTM,2006,13213330.0
GTM,2005,12948292.0
GTM,2004,12682108.0
GTM,2003,12415334.0
GTM,2002,12147518.0
GTM,2001,11871565.0
GTM,2000,11589761.0
GRD,2020,112519.0
GRD,2019,112002.0
GRD,2018,111449.0
GRD,2017,110874.0
