id_pais,year, fuerza_laboral
NIC,2007,2276727.0
NIC,2006,2211845.0
NIC,2005,2147779.0
NIC,2004,2085984.0
NIC,2003,2025292.0
NIC,2002,1964988.0
NIC,2001,1903800.0
NIC,2000,1840993.0
MEX,2020,53080123.0
MEX,2019,56596004.0
MEX,2018,55190039.0
MEX,2017,54096291.0
MEX,2016,53507498.0
MEX,2015,52732562.0
MEX,2014,51780845.0
MEX,2013,51318641.0
MEX,2012,50512846.0
MEX,2011,49035908.0
MEX,2010,47982609.0
MEX,2009,47176107.0
MEX,2008,46199021.0
MEX,2007,45304973.0
MEX,2006,44352857.0
MEX,2005,42869547.0
MEX,2004,41651820.0
MEX,2003,40417811.0
MEX,2002,39371985.0
MEX,2001,38812077.0
MEX,2000,38540145.0
JAM,2020,1396688.0
JAM,2019,1457091.0
JAM,2018,1433102.0
JAM,2017,1444404.0
JAM,2016,1424883.0
JAM,2015,1376583.0
JAM,2014,1354704.0
JAM,2013,1343203.0
JAM,2012,1302749.0
JAM,2011,1294591.0
JAM,2010,1279158.0
JAM,2009,1284589.0
JAM,2008,1301710.0
JAM,2007,1280842.0
JAM,2006,1258437.0
JAM,2005,1235639.0
JAM,2004,1215721.0
JAM,2003,1156455.0
JAM,2002,1151831.0
JAM,2001,1147029.0
JAM,2000,1147457.0
HND,2020,4089919.0
HND,2019,4238924.0
HND,2018,4351344.0
HND,2017,4105648.0
HND,2016,3933053.0
HND,2015,3870926.0
HND,2014,3764382.0
HND,2013,3568374.0
HND,2012,3225010.0
HND,2011,3197958.0
HND,2010,3214166.0
HND,2009,3059061.0
HND,2008,2905042.0
HND,2007,2786673.0
HND,2006,2740849.0
HND,2005,2732602.0
HND,2004,2669122.0
HND,2003,2605133.0
HND,2002,2541221.0
HND,2001,2479124.0
HND,2000,2420116.0
HTI,2020,4955980.0
HTI,2019,4982122.0
HTI,2018,4898140.0
HTI,2017,4807860.0
HTI,2016,4718848.0
HTI,2015,4629513.0
HTI,2014,4539509.0
HTI,2013,4446085.0
HTI,2012,4349886.0
HTI,2011,4257833.0
HTI,2010,4160937.0
HTI,2009,4051158.0
HTI,2008,3943169.0
HTI,2007,3836867.0
HTI,2006,3732148.0
HTI,2005,3629068.0
HTI,2004,3535796.0
HTI,2003,3444170.0
HTI,2002,3353716.0
HTI,2001,3263801.0
HTI,2000,3174536.0
GUY,2020,293720.0
GUY,2019,306151.0
GUY,2018,302647.0
GUY,2017,300364.0
GUY,2016,297957.0
GUY,2015,295579.0
GUY,2014,292698.0
GUY,2013,289655.0
GUY,2012,286495.0
GUY,2011,283273.0
GUY,2010,280090.0
GUY,2009,276891.0
GUY,2008,273612.0
GUY,2007,270424.0
GUY,2006,267573.0
GUY,2005,265124.0
GUY,2004,265253.0
GUY,2003,266159.0
GUY,2002,267679.0
GUY,2001,270615.0
GUY,2000,273422.0
GTM,2020,6387537.0
GTM,2019,6707594.0
GTM,2018,6537545.0
GTM,2017,6367398.0
GTM,2016,6180399.0
GTM,2015,6015811.0
GTM,2014,5868446.0
GTM,2013,5664712.0
GTM,2012,5567956.0
GTM,2011,5467480.0
GTM,2010,5330048.0
GTM,2009,5201009.0
GTM,2008,5069950.0
GTM,2007,4939775.0
GTM,2006,4815710.0
GTM,2005,4700495.0
GTM,2004,4590730.0
GTM,2003,4468311.0
GTM,2002,4352879.0
GTM,2001,4231471.0
GTM,2000,4108982.0
GRD,2020,
GRD,2019,
GRD,2018,
GRD,2017,
GRD,2016,
GRD,2015,
GRD,2014,
GRD,2013,
GRD,2012,
GRD,2011,
GRD,2010,
GRD,2009,
GRD,2008,
GRD,2007,
GRD,2006,
GRD,2005,
GRD,2004,
GRD,2003,
GRD,2002,
GRD,2001,
GRD,2000,
SLV,2020,2640908.0
SLV,2019,2786916.0
SLV,2018,2716898.0
SLV,2017,2710376.0
SLV,2016,2696801.0
SLV,2015,2638742.0
SLV,2014,2648113.0
SLV,2013,2665750.0
SLV,2012,2607181.0
SLV,2011,2550005.0
SLV,2010,2516443.0
SLV,2009,2486427.0
SLV,2008,2457930.0
SLV,2007,2430226.0
SLV,2006,2383698.0
SLV,2005,2330116.0
SLV,2004,2285105.0
SLV,2003,2323550.0
SLV,2002,2213925.0
SLV,2001,2210126.0
SLV,2000,2205229.0
ECU,2020,7697701.0
ECU,2019,8312171.0
ECU,2018,8196417.0
ECU,2017,8194875.0
ECU,2016,7955978.0
ECU,2015,7551558.0
ECU,2014,7050017.0
ECU,2013,6863959.0
