id_pais,year,desarrollo
PAN,2000,0.362639993429184
NIC,2020,
NIC,2019,
NIC,2018,
NIC,2017,
NIC,2016,
NIC,2015,0.10741999745369
NIC,2014,0.0893500000238419
NIC,2013,0.10283999890089
NIC,2012,0.104489997029305
NIC,2011,0.0834399983286858
NIC,2010,
NIC,2009,
NIC,2008,
NIC,2007,
NIC,2006,
NIC,2005,
NIC,2004,
NIC,2003,
NIC,2002,0.0349299982190132
NIC,2001,
NIC,2000,
MEX,2020,0.300960004329681
MEX,2019,0.283840000629425
MEX,2018,0.307110011577606
MEX,2017,0.328319996595383
MEX,2016,0.387780010700226
MEX,2015,0.42943000793457
MEX,2014,0.43529999256134
MEX,2013,0.425029993057251
MEX,2012,0.420960009098053
MEX,2011,0.471289992332459
MEX,2010,0.494850009679794
MEX,2009,0.47953999042511
MEX,2008,0.443870007991791
MEX,2007,0.398330003023148
MEX,2006,0.369219988584518
MEX,2005,0.398440003395081
MEX,2004,0.388159990310669
MEX,2003,0.393139988183975
MEX,2002,0.354299992322922
MEX,2001,0.324180006980896
MEX,2000,0.306129992008209
JAM,2020,
JAM,2019,
JAM,2018,
JAM,2017,
JAM,2016,
JAM,2015,
JAM,2014,
JAM,2013,
JAM,2012,
JAM,2011,
JAM,2010,
JAM,2009,
JAM,2008,
JAM,2007,
JAM,2006,
JAM,2005,
JAM,2004,
JAM,2003,
JAM,2002,0.0609599985182285
JAM,2001,0.049100000411272
JAM,2000,
HND,2020,
HND,2019,
HND,2018,
HND,2017,0.0399399995803833
HND,2016,
HND,2015,0.0149699999019504
HND,2014,
HND,2013,
HND,2012,
HND,2011,
HND,2010,
HND,2009,
HND,2008,
HND,2007,
HND,2006,
HND,2005,
HND,2004,0.0415499992668629
HND,2003,0.0421499982476234
HND,2002,0.0418099984526634
HND,2001,0.0383399985730648
HND,2000,0.0445300005376339
HTI,2020,
HTI,2019,
HTI,2018,
HTI,2017,
HTI,2016,
HTI,2015,
HTI,2014,
HTI,2013,
HTI,2012,
HTI,2011,
HTI,2010,
HTI,2009,
HTI,2008,
HTI,2007,
HTI,2006,
HTI,2005,
HTI,2004,
HTI,2003,
HTI,2002,
HTI,2001,
HTI,2000,
GUY,2020,
GUY,2019,
GUY,2018,
GUY,2017,
GUY,2016,
GUY,2015,
GUY,2014,
GUY,2013,
GUY,2012,
GUY,2011,
GUY,2010,
GUY,2009,
GUY,2008,
GUY,2007,
GUY,2006,
GUY,2005,
GUY,2004,
GUY,2003,
GUY,2002,
GUY,2001,
GUY,2000,
GTM,2020,
GTM,2019,0.0264699999243021
GTM,2018,0.0294300001114607
GTM,2017,0.0295499991625547
GTM,2016,0.0231100004166365
GTM,2015,0.0306400004774332
GTM,2014,0.0294899996370077
GTM,2013,0.0391599982976913
GTM,2012,0.0454300008714199
GTM,2011,0.0489399991929531
GTM,2010,0.0442100018262863
