DATASOURCE (code);PUBLISHSTATE (code);YEAR (code);REGION (code);COUNTRY (code);ALCOHOLTYPE (code);SA_0000001400 (string);SA_0000001400 (numeric);SA_0000001400 (low);SA_0000001400 (high);SA_0000001400 (comment)
GISAHDZA;PUBLISHED;2009;AFR;DZA;SA_TOTAL;0.43;0.42683;0.31546;0.53584;
GISAHAGO;PUBLISHED;2000;AFR;AGO;SA_BEER;0.90;0.90147;0.53839;1.27261;
GISAHAGO;PUBLISHED;2000;AFR;AGO;SA_WINE;0.38;0.37875;0.24129;0.52241;
GISAHAGO;PUBLISHED;2000;AFR;AGO;SA_SPIRITS;0.18;0.18372;0.11022;0.25314;
GISAHAGO;PUBLISHED;2000;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01046;0.00643;0.01462;
GISAHAGO;PUBLISHED;2000;AFR;AGO;SA_TOTAL;1.47;1.47439;1.09341;1.88023;
GISAHAGO;PUBLISHED;2001;AFR;AGO;SA_BEER;1.19;1.186;0.6742;1.66108;
GISAHAGO;PUBLISHED;2001;AFR;AGO;SA_WINE;0.56;0.56007;0.33424;0.77961;
GISAHAGO;PUBLISHED;2001;AFR;AGO;SA_SPIRITS;0.18;0.18372;0.11487;0.25549;
GISAHAGO;PUBLISHED;2001;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01046;0.00643;0.0147;
GISAHAGO;PUBLISHED;2001;AFR;AGO;SA_TOTAL;1.94;1.94025;1.3859;2.43105;
GISAHAGO;PUBLISHED;2002;AFR;AGO;SA_BEER;1.31;1.31104;0.82848;1.82223;
GISAHAGO;PUBLISHED;2002;AFR;AGO;SA_WINE;0.57;0.56991;0.35559;0.78913;
GISAHAGO;PUBLISHED;2002;AFR;AGO;SA_SPIRITS;0.18;0.18372;0.11247;0.26063;
GISAHAGO;PUBLISHED;2002;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01046;0.00619;0.01424;
GISAHAGO;PUBLISHED;2002;AFR;AGO;SA_TOTAL;2.08;2.07512;1.52789;2.69056;
