PAIS,NOMBRE PAIS,ANIO,IND.N.VIDA,ESPERANZA
BOL,Bolivia,2019,7.474411849174281,67.841
BOL,Bolivia,2020,8.166531321340017,64.4667
BRA,Brazil,2000,4.657728101125384,69.7367
BRA,Brazil,2001,4.827193999697133,70.1949
BRA,Brazil,2002,4.95150330368034,70.4103
BRA,Brazil,2003,5.0837137364325296,70.7204
BRA,Brazil,2004,5.283620269460056,71.1307
BRA,Brazil,2005,5.526759042582853,71.7533
BRA,Brazil,2006,5.762438117293007,72.0373
BRA,Brazil,2007,5.985900944358494,72.3653
BRA,Brazil,2008,6.201667881280764,72.7153
BRA,Brazil,2009,6.4343633842803705,72.9484
BRA,Brazil,2010,6.64311130852994,73.1821
BRA,Brazil,2011,6.879749657311397,73.3432
BRA,Brazil,2012,7.081927317013846,73.5517
BRA,Brazil,2013,7.2944612117329415,73.9185
BRA,Brazil,2014,7.569093525177871,74.3058
BRA,Brazil,2015,7.847771825760668,74.3325
BRA,Brazil,2016,8.195551340216005,74.4415
BRA,Brazil,2017,8.577285225912002,74.8266
BRA,Brazil,2018,8.994909494436996,75.1095
BRA,Brazil,2019,9.154617502073238,75.3379
BRA,Brazil,2020,9.488602987710674,74.0089
BRB,Barbados,2000,10.967310045669615,74.0891
BRB,Barbados,2001,10.778358880085209,74.2467
BRB,Barbados,2002,10.495443449323487,74.3656
BRB,Barbados,2003,10.422328633585796,74.4717
BRB,Barbados,2004,10.499110823066465,74.7268
BRB,Barbados,2005,10.613639697461792,74.8901
BRB,Barbados,2006,10.684614914766476,75.0683
BRB,Barbados,2007,10.679610958020197,75.3424
BRB,Barbados,2008,10.668496406188158,75.4471
BRB,Barbados,2009,10.624879045162876,75.678
BRB,Barbados,2010,10.717798452079265,75.7115
BRB,Barbados,2011,10.702822677007086,75.9166
BRB,Barbados,2012,10.796900566223833,76.0987
BRB,Barbados,2013,10.768511020892152,76.2752
BRB,Barbados,2014,10.79451508108108,76.4758
BRB,Barbados,2015,10.782031640432672,76.6502
BRB,Barbados,2016,10.74183566617375,76.8149
BRB,Barbados,2017,10.618087520465709,76.936
BRB,Barbados,2018,10.530416720187626,77.067
BRB,Barbados,2019,10.558930280947257,77.2569
BRB,Barbados,2020,10.612238980526508,77.3929
CAN,Canada,2000,5.588977125559702,79.2335
CAN,Canada,2001,5.710183644026121,79.4507
CAN,Canada,2002,5.842353338936906,79.568
CAN,Canada,2003,5.992748970798276,79.7396
CAN,Canada,2004,6.181985708271943,80.0332
CAN,Canada,2005,6.380019358962886,80.1364
CAN,Canada,2006,6.5428935489583875,80.5466
CAN,Canada,2007,6.699486650434331,80.5495
