PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
BLZ,Belize,2011,76.9029769897461,9.5,7.305782814025879,72.6512
BLZ,Belize,2012,76.9029769897461,9.1,6.998170906066894,73.245
BLZ,Belize,2013,76.9029769897461,9.2,7.07507388305664,73.6661
BLZ,Belize,2014,76.9029769897461,9.3,7.151976860046387,73.3107
BLZ,Belize,2015,76.9029769897461,9.4,7.228879837036134,73.1866
BLZ,Belize,2016,76.9029769897461,9.5,7.305782814025879,73.3988
BLZ,Belize,2017,76.9029769897461,9.7,7.4595887680053705,73.5624
BLZ,Belize,2018,76.9029769897461,9.8,7.536491744995118,73.7031
BLZ,Belize,2019,76.9029769897461,9.8,7.536491744995118,73.9313
BLZ,Belize,2020,76.9029769897461,9.9,7.6133947219848634,72.854
BOL,Bolivia,2000,86.7236709594727,7.4,6.41755165100098,62.3461
BOL,Bolivia,2001,86.7236709594727,7.4,6.41755165100098,62.8426
BOL,Bolivia,2002,87.39363733927414,7.3,6.379735525767011,63.3064
BOL,Bolivia,2003,88.06360371907557,7.2,6.340579467773442,63.6348
BOL,Bolivia,2004,88.73357009887701,7.1,6.300083477020268,64.0041
BOL,Bolivia,2005,89.40353647867843,7.1,6.347651089986169,64.3856
BOL,Bolivia,2006,90.07350285847987,7.0,6.305145200093591,64.7793
BOL,Bolivia,2007,90.7434692382813,7.3,6.624273254394535,65.0267
BOL,Bolivia,2008,90.698112487793,7.1,6.439565986633302,65.4459
BOL,Bolivia,2009,91.1678314208984,7.6,6.928755187988277,65.8803
BOL,Bolivia,2010,91.69699096679685,7.7,7.060668304443357,66.1624
BOL,Bolivia,2011,92.2261505126953,7.8,7.193639739990233,66.5337
BOL,Bolivia,2012,94.4605712890625,8.0,7.556845703125,66.7046
BOL,Bolivia,2013,93.79207356770833,8.0,7.503365885416667,67.0207
BOL,Bolivia,2014,93.12357584635417,8.4,7.82238037109375,67.1632
BOL,Bolivia,2015,92.455078125,8.5,7.858681640625,67.3182
BOL,Bolivia,2016,92.73457489013671,8.7,8.067908015441894,67.6277
BOL,Bolivia,2017,93.01407165527344,8.8,8.185238305664063,67.7015
BOL,Bolivia,2018,93.29356842041015,8.9,8.303127589416505,67.748
BOL,Bolivia,2019,93.57306518554688,9.0,8.42157586669922,67.841
BOL,Bolivia,2020,93.8525619506836,9.0,8.446730575561523,64.4667
