,id_pais,kpi3
0,ATG,-0.7511320202445404
1,ARG,1.2017643652670245
2,BRB,-0.45220475052906295
3,BLZ,2.5571028582926374
4,BOL,-4.665635395596723
5,BRA,5.784552145048394
6,CAN,0.7634708275684261
7,CHL,3.517070417960724
8,COL,4.4002436191772745
9,CRI,-0.2011875449204581
10,CUB,-0.00891755294384211
11,DMA,-2.4140014988734606
12,DOM,-1.193631852772171
13,ECU,-0.4827308839084594
14,SLV,2.475450142253294
15,GRD,-2.2541794203584686
16,GTM,6.034689211381362
17,GUY,-1.920281500104295
18,HTI,1.4546078581331585
19,HND,4.779923532857197
20,JAM,1.6682295581735502
21,ATG,-0.7511320202445404
22,ARG,1.2017643652670245
23,BRB,-0.45220475052906295
24,BLZ,2.5571028582926374
25,BOL,-4.665635395596723
26,BRA,5.784552145048394
27,CAN,0.7634708275684261
28,CHL,3.517070417960724
29,COL,4.4002436191772745
30,CRI,-0.2011875449204581
31,CUB,-0.00891755294384211
32,DMA,-2.4140014988734606
33,DOM,-1.193631852772171
34,ECU,-0.4827308839084594
35,SLV,2.475450142253294
36,GRD,-2.2541794203584686
37,GTM,6.034689211381362
38,GUY,-1.920281500104295
39,HTI,1.4546078581331585
40,HND,4.779923532857197
41,JAM,1.6682295581735502
42,MEX,3.4329497543010348
43,NIC,4.092117777688372
44,PAN,2.1792890739596373
45,PRY,0.23850298831797545
46,PER,-0.8688957294412489
47,KNA,0.10475322867000614
48,LCA,-1.301818918241679
49,VCT,1.4862860447497042
50,SUR,5.493284109805813
51,BHS,-10.563406314772976
52,TTO,2.0807286905952083
53,USA,-2.7538036062200604
54,URY,2.075273427454192
55,VEN,-6.534455803669573
