,id_pais,kpi4
0,ATG,-51302.52795342564
1,ARG,-12.119466541220788
2,BRB,141077.09644523234
3,BLZ,-196.4908176331669
4,BOL,38.61489278019036
5,BRA,34.43511014978094
6,CAN,-8.292307218049984
7,CHL,1.7596127319067136
8,COL,-7.626203525668814
9,CRI,-345.82533356489813
10,CUB,-196.15582896926287
11,DMA,-770449.407434323
12,DOM,-137.62668360967723
13,ECU,4.66506720044282
14,SLV,-593.5545165370447
15,GRD,-294568.1336226771
16,GTM,-251.29813001625953
17,GUY,51.596550233338576
18,HTI,664.5196203380367
19,HND,153.5159187552464
20,JAM,-298.1017223890691
21,ATG,-51302.52795342564
22,ARG,-12.119466541220788
23,BRB,141077.09644523234
24,BLZ,-196.4908176331669
25,BOL,38.61489278019036
26,BRA,34.43511014978094
27,CAN,-8.292307218049984
28,CHL,1.7596127319067136
29,COL,-7.626203525668814
30,CRI,-345.82533356489813
31,CUB,-196.15582896926287
32,DMA,-770449.407434323
33,DOM,-137.62668360967723
34,ECU,4.66506720044282
35,SLV,-593.5545165370447
36,GRD,-294568.1336226771
37,GTM,-251.29813001625953
38,GUY,51.596550233338576
39,HTI,664.5196203380367
40,HND,153.5159187552464
41,JAM,-298.1017223890691
42,MEX,23.828053308966503
43,NIC,70.19392312973918
44,PAN,115.67180264058794
45,PRY,31.734740501356157
46,PER,-4.804918352144568
47,KNA,-94761.14569658565
48,LCA,-1731.7096064333027
49,VCT,-293086.335541717
50,SUR,-245.38704428813986
51,BHS,175143.4875491019
52,TTO,4255.839786456168
53,USA,-15.402296013455839
54,URY,32.734756088440065
55,VEN,-12.328193005583671
