,ds,id_pais,yhat
23,2022-12-31,BOL,70.56191536157056
24,2023-12-31,BOL,71.90738422591433
25,2024-12-31,BOL,69.1761848544582
26,2025-12-31,BOL,69.96972848938015
0,2000-01-01,BRA,69.73670000000004
1,2001-01-01,BRA,70.19490000000026
2,2002-01-01,BRA,70.4103
3,2003-01-01,BRA,70.72039999999997
4,2004-01-01,BRA,71.13069999999978
5,2005-01-01,BRA,71.75330000000008
6,2006-01-01,BRA,72.03729999999992
7,2007-01-01,BRA,72.36529999999982
8,2008-01-01,BRA,72.71529999999964
9,2009-01-01,BRA,72.94840000000005
10,2010-01-01,BRA,73.18209999999999
11,2011-01-01,BRA,73.34320000000015
12,2012-01-01,BRA,73.55169999999981
13,2013-01-01,BRA,73.91850000000017
14,2014-01-01,BRA,74.30579999999986
15,2015-01-01,BRA,74.33250000000001
16,2016-01-01,BRA,74.4414999999998
17,2017-01-01,BRA,74.82660000000008
18,2018-01-01,BRA,75.10949999999985
19,2019-01-01,BRA,75.33789999999986
20,2019-12-31,BRA,78.47341045237044
21,2020-12-31,BRA,76.04321067362467
22,2021-12-31,BRA,76.73980720309837
23,2022-12-31,BRA,77.72901435542039
24,2023-12-31,BRA,79.05782526976384
25,2024-12-31,BRA,76.6276254921884
26,2025-12-31,BRA,77.32422202003646
0,2000-01-01,CAN,79.23350000000138
1,2001-01-01,CAN,79.45070000000041
2,2002-01-01,CAN,79.56799999999974
3,2003-01-01,CAN,79.73959999999471
4,2004-01-01,CAN,80.03320000000156
5,2005-01-01,CAN,80.13639999999916
6,2006-01-01,CAN,80.54659999999822
7,2007-01-01,CAN,80.5495000000025
8,2008-01-01,CAN,80.73879999999997
9,2009-01-01,CAN,81.07370000000289
10,2010-01-01,CAN,81.34689999999861
11,2011-01-01,CAN,81.52860000000015
12,2012-01-01,CAN,81.72209999999951
13,2013-01-01,CAN,81.8028999999988
14,2014-01-01,CAN,81.85450000000112
15,2015-01-01,CAN,81.92460000000293
16,2016-01-01,CAN,82.04340000000283
17,2017-01-01,CAN,82.01920000000135
18,2018-01-01,CAN,82.05080000000072
19,2019-01-01,CAN,82.36279999999903
20,2019-12-31,CAN,81.69400213900835
21,2020-12-31,CAN,82.80504263629106
22,2021-12-31,CAN,82.90853891835928
23,2022-12-31,CAN,82.89708337082389
24,2023-12-31,CAN,82.74362532372118
25,2024-12-31,CAN,83.85466582046917
26,2025-12-31,CAN,83.95816210161108
0,2000-01-01,CHL,76.86949999999983
1,2001-01-01,CHL,76.77259999999984
2,2002-01-01,CHL,77.44450000000029
3,2003-01-01,CHL,77.38669999999928
4,2004-01-01,CHL,77.61610000000034
5,2005-01-01,CHL,78.01590000000003
6,2006-01-01,CHL,78.26100000000001
7,2007-01-01,CHL,77.82580000000064
8,2008-01-01,CHL,78.48409999999978
9,2009-01-01,CHL,78.74090000000014
10,2010-01-01,CHL,78.50150000000019
11,2011-01-01,CHL,79.1098999999995
12,2012-01-01,CHL,79.02329999999996
13,2013-01-01,CHL,79.33909999999975
14,2014-01-01,CHL,79.47259999999974
15,2015-01-01,CHL,79.7460000000001
16,2016-01-01,CHL,80.07939999999982
17,2017-01-01,CHL,80.35009999999983
18,2018-01-01,CHL,80.1333999999999
19,2019-01-01,CHL,80.32630000000024
20,2019-12-31,CHL,82.00382974386906
21,2020-12-31,CHL,81.21863659489327
22,2021-12-31,CHL,81.80841760967566
23,2022-12-31,CHL,82.47533519296314
24,2023-12-31,CHL,83.20505963123165
25,2024-12-31,CHL,82.41986648259186
26,2025-12-31,CHL,83.00964749711773
0,2000-01-01,COL,71.32010000000835
1,2001-01-01,COL,71.50200000000258
2,2002-01-01,COL,71.93890000000121
3,2003-01-01,COL,72.36060000000316
4,2004-01-01,COL,72.6951000000003
5,2005-01-01,COL,73.0813999999983
6,2006-01-01,COL,73.46800000000044
7,2007-01-01,COL,73.83720000000393
8,2008-01-01,COL,74.29500000000397
9,2009-01-01,COL,74.74180000000095
10,2010-01-01,COL,75.03269999999881
11,2011-01-01,COL,75.31979999999893
12,2012-01-01,COL,75.59730000000026
13,2013-01-01,COL,75.82669999999978
14,2014-01-01,COL,76.04270000000264
15,2015-01-01,COL,76.25730000000112
16,2016-01-01,COL,76.47129999999848
17,2017-01-01,COL,76.64560000000165
18,2018-01-01,COL,76.74789999999592
19,2019-01-01,COL,76.75229999999696
20,2019-12-31,COL,77.39592882029244
21,2020-12-31,COL,76.86625399294795
22,2021-12-31,COL,77.01146622227411
23,2022-12-31,COL,77.28089523235631
24,2023-12-31,COL,77.72317353190898
25,2024-12-31,COL,77.19349870469574
26,2025-12-31,COL,77.33871093387772
0,2000-01-01,CRI,77.5857000000021
1,2001-01-01,CRI,77.54529999999859
2,2002-01-01,CRI,77.98329999999993
3,2003-01-01,CRI,78.07199999999877
4,2004-01-01,CRI,78.33050000000044
5,2005-01-01,CRI,78.50530000000165
6,2006-01-01,CRI,78.51450000000023
7,2007-01-01,CRI,78.46209999999984
8,2008-01-01,CRI,78.4451000000009
9,2009-01-01,CRI,78.67210000000162
10,2010-01-01,CRI,78.67039999999903
11,2011-01-01,CRI,79.34769999999857
12,2012-01-01,CRI,79.28270000000069
13,2013-01-01,CRI,79.40339999999867
14,2014-01-01,CRI,78.77410000000037
15,2015-01-01,CRI,79.08570000000114
16,2016-01-01,CRI,79.45919999999919
17,2017-01-01,CRI,79.3769000000015
18,2018-01-01,CRI,79.48350000000002
19,2019-01-01,CRI,79.42720000000148
20,2019-12-31,CRI,79.8861269082427
21,2020-12-31,CRI,79.65473819910436
22,2021-12-31,CRI,79.78434602511535
23,2022-12-31,CRI,79.90575686479453
24,2023-12-31,CRI,80.00486769278255
25,2024-12-31,CRI,79.7734789833203
26,2025-12-31,CRI,79.90308680962907
