PAIS,NOMBRE PAIS,ANIO,IND.ESTADO,ESPERANZA
BOL,Bolivia,2020,12.315193065520111,64.4667
BRA,Brazil,2000,9.332861523420913,69.7367
BRA,Brazil,2001,9.312270574066472,70.1949
BRA,Brazil,2002,9.348736306873823,70.4103
BRA,Brazil,2003,9.437269378699586,70.7204
BRA,Brazil,2004,9.646798656940653,71.1307
BRA,Brazil,2005,9.73984869617646,71.7533
BRA,Brazil,2006,9.92676127059366,72.0373
BRA,Brazil,2007,10.131523480925289,72.3653
BRA,Brazil,2008,10.384021928856525,72.7153
BRA,Brazil,2009,10.451916860054798,72.9484
BRA,Brazil,2010,10.673362918171827,73.1821
BRA,Brazil,2011,10.863288106496485,73.3432
BRA,Brazil,2012,10.722571612219854,73.5517
BRA,Brazil,2013,10.880855770697895,73.9185
BRA,Brazil,2014,11.05099118801386,74.3058
BRA,Brazil,2015,10.907055286469209,74.3325
BRA,Brazil,2016,10.626905259036354,74.4415
BRA,Brazil,2017,10.71658072983825,74.8266
BRA,Brazil,2018,10.544606063743588,75.1095
BRA,Brazil,2019,10.615645771798798,75.3379
BRA,Brazil,2020,11.457315453052969,74.0089
BRB,Barbados,2000,10.47526225881798,74.0891
BRB,Barbados,2001,10.475352455443405,74.2467
BRB,Barbados,2002,10.4753742157421,74.3656
BRB,Barbados,2003,10.475472930410879,74.4717
BRB,Barbados,2004,10.475561601736011,74.7268
BRB,Barbados,2005,10.475594993073756,74.8901
BRB,Barbados,2006,10.475660899098582,75.0683
BRB,Barbados,2007,10.47570295245192,75.3424
BRB,Barbados,2008,10.47573944378581,75.4471
BRB,Barbados,2009,10.475740903257872,75.678
BRB,Barbados,2010,10.475806336350542,75.7115
BRB,Barbados,2011,10.475814418862218,75.9166
BRB,Barbados,2012,10.475845509992824,76.0987
BRB,Barbados,2013,10.475826583782355,76.2752
BRB,Barbados,2014,10.475876663996582,76.4758
BRB,Barbados,2015,10.475793034063784,76.6502
BRB,Barbados,2016,10.475746594340329,76.8149
BRB,Barbados,2017,10.475741489646548,76.936
BRB,Barbados,2018,10.475866648585914,77.067
BRB,Barbados,2019,10.475658534279589,77.2569
BRB,Barbados,2020,10.47542045100124,77.3929
CAN,Canada,2000,16.45248051121298,79.2335
CAN,Canada,2001,16.402057066704202,79.4507
CAN,Canada,2002,16.368236429762035,79.568
CAN,Canada,2003,16.385026129009173,79.7396
CAN,Canada,2004,16.39854780012086,80.0332
CAN,Canada,2005,16.446765797626906,80.1364
CAN,Canada,2006,16.50969031933419,80.5466
CAN,Canada,2007,16.567199529575145,80.5495
CAN,Canada,2008,16.63895338047407,80.7388
CAN,Canada,2009,16.643260776369615,81.0737
CAN,Canada,2010,16.821886140727695,81.3469
CAN,Canada,2011,16.91786435091392,81.5286
CAN,Canada,2012,16.96633521581929,81.7221
CAN,Canada,2013,16.81602030654441,81.8029
CAN,Canada,2014,17.090508912195858,81.8545
CAN,Canada,2015,16.73096765864464,81.9246
CAN,Canada,2016,17.242391829053062,82.0434
CAN,Canada,2017,16.985903535288248,82.0192
CAN,Canada,2018,17.02467732389845,82.0508
CAN,Canada,2019,17.030984046855565,82.3628
CAN,Canada,2020,16.890781653668444,82.0471
CHL,Chile,2000,10.17550277178463,76.8695
CHL,Chile,2001,10.25824871766133,76.7726
CHL,Chile,2002,10.343678756551073,77.4445
CHL,Chile,2003,10.431891059278344,77.3867
