PAIS,NOMBRE PAIS,ANIO,EMISIONES CO2,CONTAMINACION AIRE,ACCESO AGUA,PRODUCCION ALIMENTOS,AGOTAMIENTO RECURSOS,IND.AGUA,Agua.Alim,AMB.INDEX,ESPERANZA
ARG,Argentina,2000,3.58739203786108,109.9201461836098,7749.11075636814,1851.4411971922004,1.91419459247328,285.71588187945537,528986.1544037241,4812.4586144573495,73.926
ARG,Argentina,2001,3.3603711850022,109.84457367317745,7749.11075636814,1851.6511971922005,1.58746838835419,288.8530938709495,534855.1770788147,4869.199808359937,74.1864
ARG,Argentina,2002,3.11742482880113,109.76900116274508,7749.11075636814,1851.2811971922004,4.80703541719776,291.9999999999999,540574.1095801223,4924.651803824464,74.408
ARG,Argentina,2003,3.35172371332405,109.69342865231272,7670.90321301644,1853.9111971922005,4.26747957749844,292.1683336763396,541654.145267553,4937.890554815228,74.0801
ARG,Argentina,2004,3.67297399646765,109.61785614188037,7592.695669664739,1855.4711971922004,4.47264486124708,292.25781393586504,542275.9559123549,4946.967355487023,74.8549
ARG,Argentina,2005,3.75363923507433,109.54228363144802,7514.48812631304,1865.5011971922004,5.26331735387871,292.2604155955955,545212.1551854734,4977.184490875,75.1388
ARG,Argentina,2006,3.94249128952415,109.63348668165656,7436.28058296134,1864.4411971922004,5.16254869845176,292.1705420057587,544734.7951215109,4968.68987395485,75.4326
ARG,Argentina,2007,4.10262963566713,109.72468973186513,7358.07303960964,1872.2711971922004,4.1041275437279,291.99999999999994,546703.1895801224,4982.499298162557,75.0057
ARG,Argentina,2008,4.1723885308823,109.81589278207369,7285.82154415498,1873.5411971922003,4.13006508086093,292.0168859353571,547105.6660756671,4982.026300704778,75.6411
ARG,Argentina,2009,3.86756996725025,109.90709583228225,7213.57004870032,1858.4811971922004,2.42873577400779,292.0254125775446,542723.7383776613,4938.022738821663,75.9359
ARG,Argentina,2010,4.09968971416256,109.99829888249081,7141.31855324566,1870.5111971922004,2.6257130091347,291.28333616708863,544848.7418560392,4953.246981010962,75.7208
ARG,Argentina,2011,4.2809893532601,110.5221803994516,7069.067057791,1875.1111971922003,2.9579204857672,291.68023971437276,546932.8834881255,4948.6255293859485,76.124
ARG,Argentina,2012,4.26422378235981,109.27427009036671,6996.81556233634,1868.7811971922004,2.6854793413505,291.9999999999999,545684.1095801223,4993.710862848657,76.4669
ARG,Argentina,2013,4.34211506853729,108.7365734141409,6923.374815616084,1876.2911971922003,2.32359754578302,292.18673732408257,548227.4031774858,5041.793997769938,76.4908
ARG,Argentina,2014,4.20909563279429,107.6061786740952,6849.934068895828,1877.3611971922003,2.08130967358465,292.28326175275055,548721.254203385,5099.347091074451,76.7549
ARG,Argentina,2015,4.30191387639872,107.77082416273211,6776.493322175572,1886.2311971922004,0.815237489374117,292.2834795713038,551314.2175912824,5115.61660472047,76.7602
ARG,Argentina,2016,4.20184577616112,106.8906422935824,6703.052575455316,1883.2111971922004,0.658037613654864,292.188528487445,550252.7085386687,5147.809917984797,76.3077
ARG,Argentina,2017,4.07130836193664,106.4510322134536,6629.61182873506,1888.3411971922003,0.827845479183642,292.00000000000006,551395.6295801227,5179.805382013343,76.833
ARG,Argentina,2018,3.97577197057929,106.4510322134536,6562.60856678427,1879.6811971922004,1.64644976638324,291.99999999999983,548866.9095801222,5156.050610007657,76.9994
ARG,Argentina,2019,3.74065029063396,106.4510322134536,6562.60856678427,1895.2111971922004,1.74552857496578,294.91517635145107,558926.5444431825,5250.550725731185,77.2845
ARG,Argentina,2020,4.346449351523901,106.4510322134536,6562.60856678427,1892.0911971922003,1.30764466865839,297.7899335967395,563445.7119708407,5293.003743176769,75.8921
ATG,Antigua and Barbuda,2000,4.34170536924231,188.2349770889353,664.129351963013,2790.6983046615755,1.91419459247328,0.05047847965465273,140.8702075941332,0.7483742382669737,74.6058
ATG,Antigua and Barbuda,2001,4.532974149096,188.26661940189672,664.129351963013,2793.7383046615755,1.91419459247328,0.05127875552376816,143.25942352212746,0.7609390553527099,75.0781
ATG,Antigua and Barbuda,2002,4.9809699570217,188.29826171485817,664.129351963013,2794.3683046615756,1.91419459247328,0.05199999999999999,145.3071518424019,0.7716861033079631,75.5357
ATG,Antigua and Barbuda,2003,5.16952246754827,188.32990402781962,655.0702763674449,2800.3183046615754,1.91419459247328,0.051954278688978416,145.48851761823505,0.7725194698593584,75.4778
ATG,Antigua and Barbuda,2004,4.97840623745086,188.36154634078105,646.0112007718766,2802.9683046615755,1.91419459247328,0.05190506194841797,145.48824349291118,0.7723882412267731,75.6721
ATG,Antigua and Barbuda,2005,5.03302148761043,188.3931886537425,636.9521251763084,2785.9383046615753,1.91419459247328,0.051887394021112435,144.55507853248514,0.7673052277817237,75.8254
ATG,Antigua and Barbuda,2006,5.31947044206993,188.47209795346902,627.8930495807401,2790.6383046615756,1.91419459247328,0.051936173596070924,144.93507543474865,0.7690001703622517,75.7647
ATG,Antigua and Barbuda,2007,5.47430063840638,188.55100725319556,618.833973985172,2793.0783046615757,1.91419459247328,0.05200000000000001,145.24007184240196,0.7702959212907649,76.1311
ATG,Antigua and Barbuda,2008,5.6210036919592,188.6299165529221,610.102519371973,2795.9583046615753,1.91419459247328,0.05209909453925026,145.6668960423653,0.7722364442731273,76.4103
ATG,Antigua and Barbuda,2009,16.0243476210748,188.70882585264866,601.371064758774,2791.3483046615756,1.91419459247328,0.05216473027037033,145.60993140332658,0.7716116654608651,76.6694
