PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
BHS,"Bahamas, The",2006,178645.0,7.53999996185303,165175.0,30760.0,15348.31375818652,331032.0,72.855
BHS,"Bahamas, The",2007,181402.0,7.88000011444092,167108.0,31090.0,15398.89717149742,337387.0,72.6785
BHS,"Bahamas, The",2008,184093.0,8.18000030517578,169034.0,30900.0,15197.714734636871,343680.0,72.6671
BHS,"Bahamas, The",2009,186729.0,14.25,160120.0,28980.0,13273.105263157895,349600.0,72.5794
BHS,"Bahamas, The",2010,189247.0,14.3140001296997,162158.0,28290.0,12924.723950233281,354936.0,72.7314
BHS,"Bahamas, The",2011,191668.0,14.5200004577637,163838.0,27900.0,12712.169930169113,359583.0,72.5638
BHS,"Bahamas, The",2012,200871.0,14.0200004577637,172709.0,28590.0,13580.88104163859,363581.0,72.7528
BHS,"Bahamas, The",2013,199676.0,16.1800003051758,167368.0,27600.0,12581.249693595742,367162.0,73.0237
BHS,"Bahamas, The",2014,203253.0,13.8000001907349,175204.0,28180.0,13321.413072512647,370625.0,73.3658
BHS,"Bahamas, The",2015,206732.0,12.0,181924.0,28810.0,14006.495029396045,374200.0,73.104
BHS,"Bahamas, The",2016,210492.0,12.6999998092651,183760.0,28930.0,14066.825252763128,377923.0,73.5368
BHS,"Bahamas, The",2017,213870.0,9.80000019073486,192911.0,30580.0,15453.133813055176,381749.0,73.6317
BHS,"Bahamas, The",2018,217185.0,10.0,195466.0,31070.0,15748.385442192746,385635.0,73.8057
BHS,"Bahamas, The",2019,220584.0,10.0609998703003,198391.0,32420.0,16513.651889926725,389486.0,71.205
BHS,"Bahamas, The",2020,204715.0,13.3210000991821,177445.0,24290.0,10960.358476076166,393248.0,72.6766
BLZ,Belize,2000,87259.0,10.8509998321533,77791.0,3150.0,990.8279082932352,247310.0,68.5645
BLZ,Belize,2001,90856.0,9.06999969482422,82615.0,3140.0,1017.0272241127856,255068.0,68.3572
BLZ,Belize,2002,94349.0,10.039999961853,84876.0,3220.0,1041.59398140914,262387.0,68.7521
BLZ,Belize,2003,97837.0,10.2399997711182,87818.0,3450.0,1124.5011654319521,269428.0,68.9091
BLZ,Belize,2004,101476.0,10.5869998931885,90733.0,3590.0,1177.9841672814593,276516.0,69.227
BLZ,Belize,2005,105320.0,10.9099998474121,93830.0,3660.0,1210.0782951254062,283798.0,69.3757
BLZ,Belize,2006,109682.0,9.39000034332275,99383.0,3760.0,1282.6341912143284,291338.0,70.0932
BLZ,Belize,2007,114214.0,8.51000022888184,104494.0,3710.0,1296.4299353578726,299031.0,70.6549
BLZ,Belize,2008,118892.0,8.18000030517578,109167.0,3880.0,1380.5006159923344,306822.0,71.1507
BLZ,Belize,2009,123687.0,8.25,113483.0,4060.0,1464.273505903291,314655.0,71.8186
BLZ,Belize,2010,128573.0,8.24199962615967,117976.0,3910.0,1430.4999302249857,322465.0,72.2716
BLZ,Belize,2011,133680.0,8.28400039672852,122606.0,4070.0,1511.0600297968726,330236.0,72.6512
BLZ,Belize,2012,138797.0,8.30599975585938,127269.0,4120.0,1551.3216824802294,338001.0,73.245
BLZ,Belize,2013,143961.0,8.35000038146973,131940.0,4180.0,1595.3081655853077,345707.0,73.6661
BLZ,Belize,2014,150728.0,8.23999977111816,138308.0,4290.0,1679.1126480759326,353366.0,73.3107
BLZ,Belize,2015,156522.0,7.57999992370605,144658.0,4440.0,1779.537966231305,360926.0,73.1866
BLZ,Belize,2016,162081.0,7.0,150735.0,4370.0,1788.0394626478355,368399.0,73.3988
BLZ,Belize,2017,166252.0,6.59999990463257,155279.0,4430.0,1830.5793892621914,375775.0,73.5624
