id_pais,year,gini
MEX,2002,50.1
MEX,2001,51.35
MEX,2000,52.6
JAM,2020,45.5
JAM,2019,45.5
JAM,2018,45.5
JAM,2017,45.5
JAM,2016,45.5
JAM,2015,45.5
JAM,2014,45.5
JAM,2013,45.5
JAM,2012,45.5
JAM,2011,45.5
JAM,2010,45.5
JAM,2009,45.5
JAM,2008,45.5
JAM,2007,45.5
JAM,2006,45.5
JAM,2005,45.5
JAM,2004,45.5
JAM,2003,46.9
JAM,2002,48.3
JAM,2001,48.3
JAM,2000,48.3
HND,2020,48.2
HND,2019,48.2
HND,2018,48.9
HND,2017,49.4
HND,2016,49.8
HND,2015,49.2
HND,2014,49.9
HND,2013,50.0
HND,2012,53.4
HND,2011,52.6
HND,2010,53.1
HND,2009,51.3
HND,2008,55.5
HND,2007,55.8
HND,2006,57.5
HND,2005,59.5
HND,2004,58.1
HND,2003,58.1
HND,2002,55.7
HND,2001,55.4
HND,2000,55.4
HTI,2020,41.1
HTI,2019,41.1
HTI,2018,41.1
HTI,2017,41.1
HTI,2016,41.1
HTI,2015,41.1
HTI,2014,41.1
HTI,2013,41.1
HTI,2012,41.1
HTI,2011,41.1
HTI,2010,41.1
HTI,2009,41.1
HTI,2008,41.1
HTI,2007,41.1
HTI,2006,41.1
HTI,2005,41.1
HTI,2004,41.1
HTI,2003,41.1
HTI,2002,41.1
HTI,2001,41.1
HTI,2000,41.1
GUY,2020,42.8048
GUY,2019,42.8048
GUY,2018,42.8048
GUY,2017,42.8048
GUY,2016,42.8048
GUY,2015,42.8048
GUY,2014,42.8048
GUY,2013,42.8048
GUY,2012,42.8048
GUY,2011,42.8048
GUY,2010,42.8048
GUY,2009,42.8048
GUY,2008,42.8048
GUY,2007,42.8048
GUY,2006,42.8048
GUY,2005,47.2929
GUY,2004,45.3823
GUY,2003,45.9568
GUY,2002,46.8183
GUY,2001,45.1
GUY,2000,45.1
GTM,2020,48.3
GTM,2019,48.3
GTM,2018,48.3
GTM,2017,48.3
GTM,2016,48.3
GTM,2015,48.3
GTM,2014,48.3
GTM,2013,49.0875
GTM,2012,49.875
GTM,2011,50.6625
GTM,2010,51.45
GTM,2009,52.2375
GTM,2008,53.025
GTM,2007,53.8125
GTM,2006,54.6
GTM,2005,54.53333333333333
GTM,2004,54.46666666666667
GTM,2003,54.400000000000006
GTM,2002,54.333333333333336
GTM,2001,54.266666666666666
GTM,2000,54.2
GRD,2020,51.2
GRD,2019,51.2
GRD,2018,51.2
GRD,2017,51.2
GRD,2016,51.2
GRD,2015,51.2
GRD,2014,51.2
GRD,2013,51.2
GRD,2012,51.2
GRD,2011,51.2
GRD,2010,51.2
GRD,2009,51.2
GRD,2008,51.2
GRD,2007,51.2
GRD,2006,51.2
GRD,2005,51.2
GRD,2004,51.2
GRD,2003,51.2
GRD,2002,51.2
GRD,2001,51.2
GRD,2000,51.2
SLV,2020,38.8
SLV,2019,38.8
SLV,2018,38.6
SLV,2017,38.0
SLV,2016,40.0
SLV,2015,40.6
SLV,2014,41.6
SLV,2013,43.4
SLV,2012,41.8
SLV,2011,42.3
SLV,2010,43.5
SLV,2009,45.8
SLV,2008,46.9
SLV,2007,45.2
SLV,2006,45.7
SLV,2005,48.5
SLV,2004,47.8
SLV,2003,50.5
SLV,2002,51.9
SLV,2001,51.4
SLV,2000,51.5
ECU,2020,47.3
ECU,2019,45.7
ECU,2018,45.4
ECU,2017,44.7
ECU,2016,45.0
ECU,2015,46.0
ECU,2014,45.0
ECU,2013,46.9
ECU,2012,46.1
ECU,2011,45.9
ECU,2010,48.8
ECU,2009,48.5
ECU,2008,49.8
ECU,2007,53.4
ECU,2006,52.3
ECU,2005,53.1
ECU,2004,53.9
ECU,2003,53.5
ECU,2002,54.46666666666667
ECU,2001,55.43333333333333
ECU,2000,56.4
DOM,2020,39.6
DOM,2019,41.9
DOM,2018,43.7
DOM,2017,42.2
DOM,2016,45.7
DOM,2015,45.2
DOM,2014,44.3
DOM,2013,47.7
DOM,2012,46.1
DOM,2011,47.7
DOM,2010,47.3
DOM,2009,48.9
DOM,2008,48.1
DOM,2007,48.9
DOM,2006,52.0
DOM,2005,50.0
DOM,2004,52.1
DOM,2003,52.1
DOM,2002,49.7
DOM,2001,50.0
DOM,2000,51.5
DMA,2020,51.2
DMA,2019,51.2
DMA,2018,51.2
DMA,2017,51.2
DMA,2016,51.2
DMA,2015,51.2
DMA,2014,51.2
DMA,2013,51.2
DMA,2012,51.2
DMA,2011,51.2
DMA,2010,51.2
DMA,2009,51.2
DMA,2008,51.2
DMA,2007,51.2
DMA,2006,51.2
DMA,2005,51.2
DMA,2004,51.2
DMA,2003,51.2
DMA,2002,51.2
DMA,2001,51.2
DMA,2000,51.2
CUB,2020,44.0
