id_pais,year,renta_recursos
VEN,2020,11.8565694977775
VEN,2019,11.8565694977775
VEN,2018,11.8565694977775
VEN,2017,11.8565694977775
VEN,2016,11.8565694977775
VEN,2015,11.8565694977775
VEN,2014,11.8565694977775
VEN,2013,17.2352701574556
VEN,2012,17.9294452707951
VEN,2011,22.8941558552557
VEN,2010,12.4308977537502
VEN,2009,11.0408061630768
VEN,2008,24.4920622834828
VEN,2007,24.9966486175071
VEN,2006,30.8591648005026
VEN,2005,32.1759450017154
VEN,2004,27.9053863034218
VEN,2003,24.3035951484546
VEN,2002,19.2840808987621
VEN,2001,14.581337019845
VEN,2000,20.3586665642071
URY,2020,2.26687601197461
URY,2019,1.70797163164874
URY,2018,1.96853062704446
URY,2017,1.82596946344408
URY,2016,1.73194641585077
URY,2015,1.83918328249826
URY,2014,1.41550904435184
URY,2013,1.23637098131272
URY,2012,1.14640538155844
URY,2011,1.34764381798639
URY,2010,2.0043650525285
URY,2009,1.34172512330343
URY,2008,1.56422402275393
URY,2007,1.284200009753
URY,2006,1.12020087901557
URY,2005,0.802023658798976
URY,2004,0.800895044352659
URY,2003,0.632377734210736
URY,2002,0.454589976645966
URY,2001,0.216877824744195
URY,2000,0.19332808422715
USA,2020,0.416556897287229
USA,2019,0.574773029222982
USA,2018,0.671278035645954
USA,2017,0.441880067195623
USA,2016,0.303223750710527
USA,2015,0.235255941473277
USA,2014,0.676357106050832
USA,2013,0.8066818487342
USA,2012,0.86239525344648
USA,2011,1.32678331604996
USA,2010,0.995032117999824
USA,2009,0.776278980667115
USA,2008,1.93513719383754
USA,2007,1.04156027916151
USA,2006,1.11740619354273
USA,2005,1.26497391249082
USA,2004,1.21428418681864
USA,2003,0.806046611374204
USA,2002,0.612632829599043
USA,2001,0.902933229785222
USA,2000,1.00384061418598
TTO,2020,5.77408778878977
TTO,2019,8.33564073932957
TTO,2018,10.40056034365
TTO,2017,6.93143059833713
TTO,2016,4.57115624625511
TTO,2015,6.63975123971393
TTO,2014,11.8721780857145
TTO,2013,15.3058400934173
TTO,2012,16.0567802269081
TTO,2011,15.1743333364369
TTO,2010,13.5602970900184
TTO,2009,14.1118356761349
TTO,2008,14.2601588225926
TTO,2007,14.8850832536157
TTO,2006,18.6096951477522
TTO,2005,17.1278354256414
TTO,2004,12.6721225793409
TTO,2003,12.2204600496235
TTO,2002,11.3293426458042
TTO,2001,10.1038429323094
TTO,2000,14.2495567661555
BHS,2020,0.0179214631341619
BHS,2019,0.01245949621164
BHS,2018,0.0131164597095545
BHS,2017,0.0172668668963389
BHS,2016,0.0172000157782544
BHS,2015,0.0142284971225151
BHS,2014,0.0176754252123636
BHS,2013,0.014628204466075
BHS,2012,0.0123262091368237
BHS,2011,0.0132816629067002
BHS,2010,0.015294777644818
BHS,2009,0.008625399326768
BHS,2008,0.0088150817951502
BHS,2007,0.0078641694249099
BHS,2006,0.0074018592480078
BHS,2005,0.0061864658343191
BHS,2004,0.0063208519532434
BHS,2003,0.0071191326516459
BHS,2002,0.0080276191015993
BHS,2001,0.0067255268148468
BHS,2000,0.0065462344231874
SUR,2020,8.10230030599189
SUR,2019,7.59907697758049
SUR,2018,8.61895920970174
SUR,2017,20.1337305240289
SUR,2016,15.0218317717936
SUR,2015,5.21984542097001
SUR,2014,13.3737479472506
SUR,2013,20.8735318585453
SUR,2012,29.0078310609826
SUR,2011,31.6660991935166
SUR,2010,22.212308321634
SUR,2009,11.372323172523
SUR,2008,15.8959100844354
SUR,2007,14.4624919882838
SUR,2006,13.4118390422068
SUR,2005,15.6919891322568
SUR,2004,9.38779920785245
SUR,2003,7.25053343291234
SUR,2002,7.7266707218088
SUR,2001,11.4564002247611
SUR,2000,12.2411904919293
VCT,2020,0.0273907023254072
VCT,2019,0.0200803274738968
VCT,2018,0.0226958090698169
VCT,2017,0.0352912453962721
VCT,2016,0.0428858245588211
VCT,2015,0.0325524367488115
VCT,2014,0.0449105374586932
VCT,2013,0.0329950106301587
VCT,2012,0.0283258771297639
VCT,2011,0.0300512454826097
VCT,2010,0.0352867103821268
VCT,2009,0.0157641771274113
VCT,2008,0.0170161920824119
VCT,2007,0.0164595882154866
VCT,2006,0.0180853281069157
VCT,2005,0.0138315265378008
VCT,2004,0.0153751161924183
VCT,2003,0.0162169422633819
VCT,2002,0.0160306437282341
VCT,2001,0.0193909107693388
VCT,2000,0.0213084634442181
LCA,2020,0.0179508532356135
LCA,2019,0.010352512219726
LCA,2018,0.0119087751721293
LCA,2017,0.0188674294808328
LCA,2016,0.0242368537719752
LCA,2015,0.018653969323322
LCA,2014,0.0253589723314246
LCA,2013,0.0193275951740473
LCA,2012,0.016416211273769
LCA,2011,0.017173382973748
LCA,2010,0.0213939960859462
LCA,2009,0.0099301138111571
LCA,2008,0.0106419166723723
LCA,2007,0.0107765868852307
LCA,2006,0.0110035424742076
LCA,2005,0.0083732251519694
LCA,2004,0.0092364470198428
LCA,2003,0.0095526213924406
LCA,2002,0.0097636863054187
LCA,2001,0.0108995599317505
LCA,2000,0.0103818193523589
KNA,2020,0.0
KNA,2019,0.0
KNA,2018,0.0
KNA,2017,0.0
KNA,2016,0.0
KNA,2015,0.0
KNA,2014,0.0
KNA,2013,0.0
KNA,2012,0.0
KNA,2011,0.0
KNA,2010,0.0
KNA,2009,0.0
KNA,2008,0.0
KNA,2007,0.0
KNA,2006,0.0
KNA,2005,0.0
KNA,2004,0.0
KNA,2003,0.0
KNA,2002,0.0
KNA,2001,0.0
KNA,2000,0.0
PER,2020,2.31640637176543
