id_pais,year,anios_escolares
DMA,2008,7.8
DOM,2008,7.2
ECU,2008,7.7
SLV,2008,5.8
GRD,2008,8.0
GTM,2008,3.8
GUY,2008,8.0
HTI,2008,4.5
HND,2008,5.0
JAM,2008,8.4
MEX,2008,8.0
NIC,2008,5.7
PAN,2008,9.2
PRY,2008,7.1
PER,2008,8.1
KNA,2008,7.4
LCA,2008,7.7
VCT,2008,8.0
SUR,2008,7.7
TTO,2008,10.5
USA,2008,12.9
URY,2008,8.2
VEN,2008,8.1
ATG,2009,9.3
ARG,2009,10.3
BHS,2009,11.3
BRB,2009,9.3
BLZ,2009,8.4
BOL,2009,7.6
BRA,2009,6.7
CAN,2009,12.4
CHL,2009,10.3
COL,2009,7.3
CRI,2009,8.4
CUB,2009,10.6
DMA,2009,7.8
DOM,2009,7.2
ECU,2009,7.7
SLV,2009,6.4
GRD,2009,8.1
GTM,2009,4.0
GUY,2009,8.0
HTI,2009,4.6
HND,2009,5.1
JAM,2009,8.6
MEX,2009,8.0
NIC,2009,5.8
PAN,2009,9.2
PRY,2009,7.4
PER,2009,8.4
KNA,2009,7.6
LCA,2009,7.8
VCT,2009,8.1
SUR,2009,7.7
TTO,2009,10.7
USA,2009,13.2
URY,2009,8.4
VEN,2009,8.2
ATG,2010,9.3
ARG,2010,10.3
BHS,2010,11.4
BRB,2010,9.3
BLZ,2010,8.7
BOL,2010,7.7
BRA,2010,6.8
CAN,2010,12.5
CHL,2010,11.1
COL,2010,7.3
CRI,2010,8.4
CUB,2010,10.8
DMA,2010,7.8
DOM,2010,7.2
ECU,2010,7.7
SLV,2010,6.5
GRD,2010,8.2
GTM,2010,4.2
GUY,2010,8.0
HTI,2010,4.7
HND,2010,5.2
JAM,2010,8.8
MEX,2010,8.2
NIC,2010,5.9
PAN,2010,9.3
PRY,2010,7.0
PER,2010,8.4
KNA,2010,7.7
LCA,2010,7.9
VCT,2010,8.2
SUR,2010,7.7
TTO,2010,10.7
USA,2010,13.2
URY,2010,8.4
VEN,2010,8.3
ATG,2011,9.2
ARG,2011,10.3
BHS,2011,11.5
BRB,2011,9.4
BLZ,2011,9.5
BOL,2011,7.8
BRA,2011,6.9
CAN,2011,12.6
CHL,2011,9.0
COL,2011,7.4
CRI,2011,8.3
CUB,2011,11.0
DMA,2011,7.8
DOM,2011,7.3
ECU,2011,7.8
SLV,2011,7.1
GRD,2011,8.3
GTM,2011,4.3
GUY,2011,8.1
HTI,2011,4.7
HND,2011,5.4
JAM,2011,8.9
MEX,2011,8.0
NIC,2011,6.0
PAN,2011,9.3
PRY,2011,7.7
PER,2011,8.4
KNA,2011,7.8
LCA,2011,8.4
VCT,2011,8.3
SUR,2011,7.7
TTO,2011,10.8
USA,2011,13.3
URY,2011,8.4
VEN,2011,8.9
ATG,2012,9.0
ARG,2012,10.3
BHS,2012,11.5
BRB,2012,9.9
BLZ,2012,9.1
BOL,2012,8.0
BRA,2012,7.1
CAN,2012,12.7
CHL,2012,9.5
COL,2012,7.5
CRI,2012,8.4
CUB,2012,11.3
DMA,2012,7.8
DOM,2012,7.4
ECU,2012,7.9
SLV,2012,6.5
GRD,2012,8.4
GTM,2012,4.5
GUY,2012,8.2
HTI,2012,4.8
HND,2012,5.6
JAM,2012,9.0
MEX,2012,8.4
NIC,2012,6.1
PAN,2012,9.3
PRY,2012,7.8
PER,2012,9.1
KNA,2012,8.0
LCA,2012,8.4
VCT,2012,8.3
SUR,2012,8.3
TTO,2012,10.8
USA,2012,13.4
URY,2012,8.4
VEN,2012,9.8
ATG,2013,9.0
ARG,2013,10.4
BHS,2013,11.4
BRB,2013,10.5
BLZ,2013,9.2
BOL,2013,8.0
BRA,2013,7.3
CAN,2013,12.8
CHL,2013,9.7
COL,2013,7.6
CRI,2013,8.5
CUB,2013,10.8
DMA,2013,7.9
DOM,2013,7.5
ECU,2013,8.1
SLV,2013,6.7
GRD,2013,8.4
GTM,2013,4.6
GUY,2013,8.3
HTI,2013,4.9
HND,2013,5.5
JAM,2013,9.1
MEX,2013,8.6
NIC,2013,6.3
PAN,2013,9.5
PRY,2013,7.8
PER,2013,8.6
KNA,2013,8.1
LCA,2013,8.4
VCT,2013,8.4
SUR,2013,8.8
TTO,2013,10.8
USA,2013,13.4
URY,2013,8.5
VEN,2013,9.7
ATG,2014,9.1
ARG,2014,10.4
BHS,2014,11.3
BRB,2014,10.5
BLZ,2014,9.3
BOL,2014,8.4
BRA,2014,7.4
CAN,2014,12.9
CHL,2014,9.9
COL,2014,7.8
CRI,2014,8.5
CUB,2014,11.0
DMA,2014,7.9
DOM,2014,7.6
ECU,2014,8.3
SLV,2014,6.6
GRD,2014,8.5
GTM,2014,4.7
GUY,2014,8.3
HTI,2014,5.0
HND,2014,5.8
JAM,2014,9.2
MEX,2014,8.4
NIC,2014,6.4
PAN,2014,9.7
PRY,2014,8.3
PER,2014,8.8
KNA,2014,8.3
LCA,2014,8.4
VCT,2014,8.4
SUR,2014,8.9
TTO,2014,10.9
USA,2014,13.3
URY,2014,8.5
VEN,2014,9.9
ATG,2015,9.1
ARG,2015,10.4
BHS,2015,11.2
BRB,2015,10.5
BLZ,2015,9.4
BOL,2015,8.5
BRA,2015,7.4
CAN,2015,13.1
CHL,2015,10.1
COL,2015,8.0
CRI,2015,8.8
CUB,2015,11.1
DMA,2015,7.9
DOM,2015,7.8
ECU,2015,8.4
SLV,2015,6.5
GRD,2015,8.6
GTM,2015,6.4
GUY,2015,8.4
HTI,2015,5.2
HND,2015,6.2
JAM,2015,9.4
MEX,2015,8.4
NIC,2015,6.5
PAN,2015,9.9
PRY,2015,8.2
PER,2015,9.4
KNA,2015,8.4
