id_pais,year,salud
PAN,2001,6.8341074
PAN,2000,6.9129467
NIC,2020,7.6584363
NIC,2019,8.4039259
NIC,2018,8.58646584
NIC,2017,8.33672619
NIC,2016,8.04877567
NIC,2015,7.96303225
NIC,2014,7.97716141
NIC,2013,7.6386919
NIC,2012,7.48836899
NIC,2011,7.44982004
NIC,2010,7.71019173
NIC,2009,7.68584394
NIC,2008,7.16700697
NIC,2007,6.95643044
NIC,2006,6.35756493
NIC,2005,6.22468948
NIC,2004,6.05740404
NIC,2003,6.08317614
NIC,2002,5.73315907
NIC,2001,5.48459768
NIC,2000,5.23883677
MEX,2020,5.3359446550000005
MEX,2019,5.43305254
MEX,2018,5.37870932
MEX,2017,5.45759058
MEX,2016,5.55345869
MEX,2015,5.72277403
MEX,2014,5.55341005
MEX,2013,5.80923605
MEX,2012,5.66522121
MEX,2011,5.51883602
MEX,2010,5.73688889
MEX,2009,6.12978458
MEX,2008,5.69886971
MEX,2007,5.76644516
MEX,2006,5.65525532
MEX,2005,5.83612156
MEX,2004,5.9539032
MEX,2003,5.81486464
MEX,2002,5.0716424
MEX,2001,4.8203578
MEX,2000,4.44912481
JAM,2020,5.273303985
JAM,2019,6.09748316
JAM,2018,5.96785641
JAM,2017,6.14843798
JAM,2016,5.70086861
JAM,2015,5.62469387
JAM,2014,5.16565466
JAM,2013,4.95442057
JAM,2012,4.88511038
JAM,2011,5.23800802
JAM,2010,5.29506874
JAM,2009,5.14652538
JAM,2008,5.61143064
JAM,2007,5.32057667
JAM,2006,4.20788145
JAM,2005,4.54581738
JAM,2004,4.80435324
JAM,2003,4.22014093
JAM,2002,4.74544334
JAM,2001,5.15652943
JAM,2000,5.64462566
HND,2020,6.46427178
HND,2019,7.2839179
HND,2018,7.21891975
HND,2017,6.98996687
HND,2016,7.69098616
HND,2015,7.48378992
HND,2014,7.91455746
HND,2013,8.47723007
HND,2012,8.65655136
HND,2011,8.79187012
HND,2010,8.72536373
HND,2009,8.9959259
HND,2008,8.60362625
HND,2007,8.08494949
HND,2006,7.86318684
HND,2005,7.50086403
HND,2004,6.85484314
HND,2003,6.8900466
HND,2002,6.2445755
HND,2001,5.92998314
HND,2000,6.26817942
HTI,2020,5.498134615
HTI,2019,4.72808981
HTI,2018,4.57474232
HTI,2017,4.78747177
HTI,2016,4.90023947
HTI,2015,5.06690121
HTI,2014,4.62687111
HTI,2013,4.21974993
HTI,2012,5.56462383
HTI,2011,5.91197777
HTI,2010,4.62583256
HTI,2009,3.60447621
HTI,2008,3.79294419
HTI,2007,3.72829294
HTI,2006,3.53148794
HTI,2005,3.36843777
HTI,2004,3.44730067
HTI,2003,3.41427732
HTI,2002,3.40510392
