id_pais,year,desempleo
VEN,2020,6.6269998550415
VEN,2019,5.09600019454956
VEN,2018,5.02199983596802
VEN,2017,5.05000019073486
VEN,2016,5.32000017166138
VEN,2015,6.07999992370605
VEN,2014,6.86399984359741
VEN,2013,7.53999996185303
VEN,2012,6.59999990463257
VEN,2011,6.90000009536743
VEN,2010,7.1100001335144
VEN,2009,6.09999990463257
VEN,2008,6.25
VEN,2007,7.28000020980835
VEN,2006,8.60999965667725
VEN,2005,10.6599998474121
VEN,2004,15.0699996948242
VEN,2003,16.7800006866455
VEN,2002,16.1700000762939
VEN,2001,13.039999961853
VEN,2000,13.9899997711182
URY,2020,10.3500003814697
URY,2019,8.88000011444092
URY,2018,8.34000015258789
URY,2017,7.8899998664856
URY,2016,7.84000015258789
URY,2015,7.48999977111816
URY,2014,6.55000019073486
URY,2013,6.44000005722046
URY,2012,6.44999980926514
URY,2011,6.30999994277954
URY,2010,7.15999984741211
URY,2009,7.73999977111816
URY,2008,8.02999973297119
URY,2007,9.39999961853027
URY,2006,10.8400001525879
URY,2005,12.0100002288818
URY,2004,12.9799995422363
URY,2003,16.6599998474121
URY,2002,16.6499996185303
URY,2001,15.0500001907349
URY,2000,12.6300001144409
USA,2020,8.05000019073486
USA,2019,3.67000007629395
USA,2018,3.90000009536743
USA,2017,4.3600001335144
USA,2016,4.86999988555908
USA,2015,5.28000020980835
USA,2014,6.17000007629395
USA,2013,7.36999988555908
USA,2012,8.06999969482422
USA,2011,8.94999980926514
USA,2010,9.63000011444092
USA,2009,9.25
USA,2008,5.78000020980835
USA,2007,4.61999988555908
USA,2006,4.61999988555908
USA,2005,5.07999992370605
USA,2004,5.53000020980835
USA,2003,5.98999977111816
USA,2002,5.78000020980835
USA,2001,4.73000001907349
USA,2000,3.99000000953674
TTO,2020,4.56799983978271
TTO,2019,3.42199993133545
TTO,2018,3.33699989318848
TTO,2017,3.27500009536743
TTO,2016,3.21000003814697
TTO,2015,2.4300000667572
TTO,2014,2.48000001907349
TTO,2013,2.6800000667572
TTO,2012,3.72000002861023
TTO,2011,3.4300000667572
TTO,2010,4.03000020980835
TTO,2009,5.28000020980835
TTO,2008,4.63000011444092
TTO,2007,5.53999996185303
TTO,2006,6.26999998092651
TTO,2005,7.94999980926514
TTO,2004,8.32999992370605
TTO,2003,10.4799995422363
TTO,2002,10.3900003433228
TTO,2001,10.8800001144409
TTO,2000,12.1000003814697
BHS,2020,13.3210000991821
BHS,2019,10.0609998703003
BHS,2018,10.0
BHS,2017,9.80000019073486
BHS,2016,12.6999998092651
BHS,2015,12.0
BHS,2014,13.8000001907349
BHS,2013,16.1800003051758
BHS,2012,14.0200004577637
BHS,2011,14.5200004577637
BHS,2010,14.3140001296997
BHS,2009,14.25
BHS,2008,8.18000030517578
BHS,2007,7.88000011444092
BHS,2006,7.53999996185303
BHS,2005,10.1999998092651
BHS,2004,10.1999998092651
BHS,2003,10.8400001525879
BHS,2002,9.05000019073486
BHS,2001,6.86999988555908
BHS,2000,7.20100021362305
SUR,2020,9.77799987792969
SUR,2019,8.03999996185303
SUR,2018,7.92600011825562
SUR,2017,7.90399980545044
SUR,2016,7.92000007629395
SUR,2015,7.21999979019165
SUR,2014,6.94000005722046
SUR,2013,6.59999990463257
SUR,2012,8.10000038146973
SUR,2011,7.53999996185303
SUR,2010,7.15000009536743
SUR,2009,8.72000026702881
SUR,2008,8.875
SUR,2007,9.0319995880127
SUR,2006,9.19200038909912
SUR,2005,9.38300037384033
SUR,2004,9.48999977111816
SUR,2003,10.3070001602173
SUR,2002,11.1529998779297
SUR,2001,11.9119997024536
SUR,2000,12.7379999160767
VCT,2020,21.0020008087158
VCT,2019,19.2800006866455
VCT,2018,19.1800003051758
VCT,2017,19.181999206543
VCT,2016,19.1100006103516
VCT,2015,19.0900001525879
VCT,2014,19.05299949646
VCT,2013,18.9899997711182
VCT,2012,18.9650001525879
VCT,2011,18.988000869751
VCT,2010,19.0499992370605
VCT,2009,18.9629993438721
VCT,2008,18.7900009155273
VCT,2007,19.0590000152588
VCT,2006,19.2329998016357
VCT,2005,19.7509994506836
VCT,2004,20.0189990997314
VCT,2003,20.2129993438721
VCT,2002,20.5919990539551
VCT,2001,21.1000003814697
VCT,2000,20.9549999237061
LCA,2020,16.8920001983643
LCA,2019,15.3199996948242
LCA,2018,19.0799999237061
LCA,2017,18.8600006103516
LCA,2016,19.6490001678467
LCA,2015,20.5620002746582
LCA,2014,21.2959995269775
LCA,2013,22.2099990844727
LCA,2012,19.0599994659424
LCA,2011,18.8600006103516
LCA,2010,17.1079998016357
LCA,2009,15.3699998855591
LCA,2008,12.7200002670288
LCA,2007,14.0
LCA,2006,16.0
LCA,2005,18.7000007629395
LCA,2004,20.9699993133545
LCA,2003,22.1800003051758
LCA,2002,20.3899993896484
LCA,2001,18.5249996185303
LCA,2000,16.4899997711182
KNA,2020,4.5
KNA,2019,4.095
KNA,2018,5.119
KNA,2017,5.068
KNA,2016,5.271
KNA,2015,5.535
KNA,2014,5.756
KNA,2013,5.986
KNA,2012,5.148
KNA,2011,5.097
KNA,2010,4.638
KNA,2009,4.174
KNA,2008,3.464
KNA,2007,3.81
KNA,2006,4.343
KNA,2005,5.081
KNA,2004,5.691
KNA,2003,6.032
KNA,2002,5.549
KNA,2001,5.05
KNA,2000,4.494
PER,2020,7.17999982833862
PER,2019,3.38000011444092
PER,2018,3.49000000953674
PER,2017,3.69000005722046
PER,2016,3.74000000953674
PER,2015,3.26999998092651
PER,2014,3.21000003814697
PER,2013,3.5699999332428
