id_pais,year,desarrollo
VEN,2020,0.337130010128021
VEN,2019,0.337130010128021
VEN,2018,0.337130010128021
VEN,2017,0.337130010128021
VEN,2016,0.337130010128021
VEN,2015,0.337130010128021
VEN,2014,0.337130010128021
VEN,2013,0.31852999329567
VEN,2012,0.250099986791611
VEN,2011,0.152960002422333
VEN,2010,0.188229992985725
VEN,2009,0.240140005946159
VEN,2008,0.238030001521111
VEN,2007,0.201100006699562
VEN,2006,0.31742000579834
VEN,2005,0.189070001244545
VEN,2004,0.2310628592967987
VEN,2003,0.27305571734905243
VEN,2002,0.31504857540130615
VEN,2001,0.3570414334535599
VEN,2000,0.3990342915058136
URY,2020,0.4410271495580672
URY,2019,0.483020007610321
URY,2018,0.38672998547554
URY,2017,0.448489993810654
URY,2016,0.375979989767075
URY,2015,0.364459991455078
URY,2014,0.335790008306503
URY,2013,0.321130007505417
URY,2012,0.327600002288818
URY,2011,0.348699986934662
URY,2010,0.341149985790253
URY,2009,0.412519991397858
URY,2008,0.379729986190796
URY,2007,0.424719989299774
URY,2006,0.365390002727509
URY,2005,0.33358750119805375
URY,2004,0.3017849996685985
URY,2003,0.2699824981391432
URY,2002,0.238179996609688
URY,2001,0.223714999854565
URY,2000,0.209250003099442
USA,2020,3.45018005371094
USA,2019,3.16609001159668
USA,2018,3.00081992149353
USA,2017,2.8957200050354
USA,2016,2.84584999084473
USA,2015,2.78205990791321
USA,2014,2.72150993347168
USA,2013,2.71153998374939
USA,2012,2.68165993690491
USA,2011,2.76524996757507
USA,2010,2.73539996147156
USA,2009,2.81270003318787
USA,2008,2.76791000366211
USA,2007,2.63160991668701
USA,2006,2.55764007568359
USA,2005,2.51696991920471
USA,2004,2.5024299621582
USA,2003,2.56454992294312
USA,2002,2.55925989151001
USA,2001,2.64829993247986
USA,2000,2.6287899017334
TTO,2020,1.3449249509722003
TTO,2019,0.0610600002110004
TTO,2018,0.0844499990344048
TTO,2017,0.0914900004863739
TTO,2016,0.0914100036025047
TTO,2015,0.0865800008177757
TTO,2014,0.0817200019955635
TTO,2013,0.0566699989140034
TTO,2012,0.0437799990177155
TTO,2011,0.0402400009334087
TTO,2010,0.0477100014686584
TTO,2009,0.0566500015556812
TTO,2008,0.0307199992239475
TTO,2007,0.0592200011014938
TTO,2006,0.0723299980163574
TTO,2005,0.114309996366501
TTO,2004,0.114409998059273
TTO,2003,0.115010000765324
TTO,2002,0.131779998540878
TTO,2001,0.104170002043247
TTO,2000,0.108000002801418
BHS,2020,0.10820131419134892
BHS,2019,0.10840262558127983
BHS,2018,0.10860393697121075
BHS,2017,0.10880524836114167
BHS,2016,0.10900655975107258
BHS,2015,0.10920787114100351
BHS,2014,0.10940918253093443
BHS,2013,0.10961049392086535
BHS,2012,0.10981180531079626
BHS,2011,0.11001311670072718
BHS,2010,0.1102144280906581
BHS,2009,0.11041573948058901
BHS,2008,0.11061705087051993
BHS,2007,0.11081836226045085
BHS,2006,0.11101967365038176
BHS,2005,0.11122098504031269
BHS,2004,0.11142229643024361
BHS,2003,0.11162360782017453
BHS,2002,0.11182491921010544
BHS,2001,0.11202623060003636
BHS,2000,0.11222754198996727
SUR,2020,0.11242885337989819
SUR,2019,0.11263016476982911
SUR,2018,0.11283147615976002
SUR,2017,0.11303278754969094
SUR,2016,0.11323409893962187
SUR,2015,0.11343541032955279
SUR,2014,0.1136367217194837
SUR,2013,0.11383803310941462
SUR,2012,0.11403934449934554
SUR,2011,0.11424065588927645
SUR,2010,0.11444196727920737
SUR,2009,0.11464327866913829
SUR,2008,0.1148445900590692
SUR,2007,0.11504590144900012
SUR,2006,0.11524721283893105
SUR,2005,0.11544852422886197
SUR,2004,0.11564983561879288
SUR,2003,0.1158511470087238
SUR,2002,0.11605245839865472
SUR,2001,0.11625376978858563
SUR,2000,0.11645508117851655
VCT,2020,0.11665639256844747
VCT,2019,0.11685770395837838
VCT,2018,0.1170590153483093
VCT,2017,0.11726032673824022
VCT,2016,0.11746163812817115
VCT,2015,0.11766294951810206
VCT,2014,0.11786426090803298
VCT,2013,0.1180655722979639
VCT,2012,0.11826688368789481
VCT,2011,0.11846819507782573
VCT,2010,0.11866950646775665
VCT,2009,0.11887081785768756
VCT,2008,0.11907212924761848
VCT,2007,0.11927344063754941
VCT,2006,0.11947475202748033
VCT,2005,0.11967606341741124
VCT,2004,0.11987737480734216
VCT,2003,0.12007868619727308
VCT,2002,0.120279997587204
VCT,2001,0.0430600009858608
VCT,2000,0.045982955616306144
LCA,2020,0.04890591024675149
LCA,2019,0.05182886487719683
LCA,2018,0.05475181950764218
LCA,2017,0.057674774138087526
LCA,2016,0.060597728768532866
LCA,2015,0.0635206833989782
LCA,2014,0.06644363802942356
LCA,2013,0.06936659265986891
LCA,2012,0.07228954729031425
LCA,2011,0.0752125019207596
LCA,2010,0.07813545655120493
LCA,2009,0.08105841118165029
LCA,2008,0.08398136581209563
LCA,2007,0.08690432044254098
LCA,2006,0.08982727507298632
LCA,2005,0.09275022970343166
LCA,2004,0.09567318433387702
LCA,2003,0.09859613896432236
LCA,2002,0.10151909359476771
LCA,2001,0.10444204822521305
LCA,2000,0.10736500285565839
KNA,2020,0.11028795748610375
KNA,2019,0.11321091211654909
KNA,2018,0.11613386674699443
KNA,2017,0.11905682137743978
KNA,2016,0.12197977600788512
KNA,2015,0.12490273063833046
KNA,2014,0.1278256852687758
KNA,2013,0.13074863989922114
KNA,2012,0.1336715945296665
KNA,2011,0.13659454916011185
KNA,2010,0.1395175037905572
KNA,2009,0.14244045842100256
