id_pais,year,agua
VEN,2020,27867.0938328667
VEN,2019,27867.0938328667
VEN,2018,27867.0938328667
VEN,2017,27378.6428899875
VEN,2016,27386.4110813419
VEN,2015,27394.1792726963
VEN,2014,27401.9474640507
VEN,2013,27409.7156554051
VEN,2012,27417.4838467595
VEN,2011,27842.76414735956
VEN,2010,28268.04444795962
VEN,2009,28693.32474855968
VEN,2008,29118.605049159738
VEN,2007,29543.8853497598
VEN,2006,30049.34690151624
VEN,2005,30554.80845327268
VEN,2004,31060.27000502912
VEN,2003,31565.73155678556
VEN,2002,32071.193108542
VEN,2001,32071.193108542
VEN,2000,32071.193108542
URY,2020,26730.1386662183
URY,2019,26730.1386662183
URY,2018,26730.1386662183
URY,2017,26828.4911592556
URY,2016,26920.069172419622
URY,2015,27011.647185583643
URY,2014,27103.22519874766
URY,2013,27194.80321191168
URY,2012,27286.3812250757
URY,2011,27363.72894528248
URY,2010,27441.07666548926
URY,2009,27518.42438569604
URY,2008,27595.77210590282
URY,2007,27673.1198261096
URY,2006,27682.616417248
URY,2005,27692.1130083864
URY,2004,27701.6095995248
URY,2003,27711.106190663202
URY,2002,27720.6027818016
URY,2001,27720.6027818016
URY,2000,27720.6027818016
USA,2020,8622.00320715878
USA,2019,8622.00320715878
USA,2018,8622.00320715878
USA,2017,8667.51216638198
USA,2016,8729.613779627378
USA,2015,8791.715392872775
USA,2014,8853.817006118174
USA,2013,8915.91861936357
USA,2012,8978.02023260897
USA,2011,9053.404273984721
USA,2010,9128.788315360473
USA,2009,9204.172356736226
USA,2008,9279.556398111978
USA,2007,9354.94043948773
USA,2006,9443.44690810492
USA,2005,9531.95337672211
USA,2004,9620.459845339301
USA,2003,9708.966313956491
USA,2002,9797.47278257368
USA,2001,9797.47278257368
USA,2000,9797.47278257368
TTO,2020,2762.9059726976
TTO,2019,2762.9059726976
TTO,2018,2762.9059726976
TTO,2017,2774.44619452914
TTO,2016,2790.639648099744
TTO,2015,2806.8331016703482
TTO,2014,2823.026555240952
TTO,2013,2839.220008811556
TTO,2012,2855.41346238216
TTO,2011,2871.284799482708
TTO,2010,2887.156136583256
TTO,2009,2903.027473683804
TTO,2008,2918.898810784352
TTO,2007,2934.7701478849
TTO,2006,2949.126787657518
TTO,2005,2963.483427430136
TTO,2004,2977.8400672027537
