id_pais,year,tabaco
MEX,2007,19.44
MEX,2006,20.02
MEX,2005,20.6
MEX,2004,21.28
MEX,2003,21.96
MEX,2002,22.64
MEX,2001,23.32
MEX,2000,24.0
JAM,2020,9.4
JAM,2019,9.7
JAM,2018,9.7
JAM,2017,10.133333333333333
JAM,2016,10.566666666666666
JAM,2015,11.0
JAM,2014,11.36
JAM,2013,11.72
JAM,2012,12.08
JAM,2011,12.440000000000001
JAM,2010,12.8
JAM,2009,13.22
JAM,2008,13.64
JAM,2007,14.06
JAM,2006,14.48
JAM,2005,14.9
JAM,2004,15.4
JAM,2003,15.9
JAM,2002,16.4
JAM,2001,16.9
JAM,2000,17.4
HND,2020,10.9
HND,2019,11.0
HND,2018,11.0
HND,2017,11.2
HND,2016,11.4
HND,2015,11.6
HND,2014,11.78
HND,2013,11.96
HND,2012,12.14
HND,2011,12.32
HND,2010,12.5
HND,2009,12.68
HND,2008,12.86
HND,2007,13.04
HND,2006,13.22
HND,2005,13.4
HND,2004,13.58
HND,2003,13.76
HND,2002,13.94
HND,2001,14.12
HND,2000,14.3
HTI,2020,7.7
HTI,2019,7.9
HTI,2018,7.9
HTI,2017,8.133333333333333
HTI,2016,8.366666666666667
HTI,2015,8.6
HTI,2014,8.82
HTI,2013,9.04
HTI,2012,9.26
HTI,2011,9.479999999999999
HTI,2010,9.7
HTI,2009,9.94
HTI,2008,10.18
HTI,2007,10.42
HTI,2006,10.66
HTI,2005,10.9
HTI,2004,11.18
HTI,2003,11.46
HTI,2002,11.74
HTI,2001,12.020000000000001
HTI,2000,12.3
GUY,2020,12.1
GUY,2019,12.6
GUY,2018,12.6
GUY,2017,13.433333333333334
GUY,2016,14.266666666666666
GUY,2015,15.1
GUY,2014,15.9
GUY,2013,16.7
GUY,2012,17.5
GUY,2011,18.3
GUY,2010,19.1
GUY,2009,20.1
GUY,2008,21.1
GUY,2007,22.1
GUY,2006,23.1
GUY,2005,24.1
GUY,2004,25.32
GUY,2003,26.54
GUY,2002,27.759999999999998
GUY,2001,28.98
GUY,2000,30.2
GTM,2020,10.9
GTM,2019,11.0
GTM,2018,11.0
GTM,2017,11.2
GTM,2016,11.4
GTM,2015,11.6
GTM,2014,11.78
GTM,2013,11.959999999999999
GTM,2012,12.14
GTM,2011,12.32
GTM,2010,12.5
GTM,2009,12.68
GTM,2008,12.86
GTM,2007,13.040000000000001
GTM,2006,13.22
GTM,2005,13.4
GTM,2004,13.58
GTM,2003,13.76
GTM,2002,13.940000000000001
GTM,2001,14.120000000000001
GTM,2000,14.3
GRD,2020,8.5
GRD,2019,8.5
GRD,2018,8.5
GRD,2017,8.6
GRD,2016,8.7
GRD,2015,8.8
GRD,2014,8.88
GRD,2013,8.96
GRD,2012,9.04
GRD,2011,9.12
GRD,2010,9.2
GRD,2009,9.3
GRD,2008,9.4
GRD,2007,9.5
GRD,2006,9.6
GRD,2005,9.7
GRD,2004,9.8
GRD,2003,9.9
GRD,2002,10.0
GRD,2001,10.1
GRD,2000,10.2
SLV,2020,7.9
SLV,2019,8.3
SLV,2018,8.3
SLV,2017,8.700000000000001
SLV,2016,9.1
SLV,2015,9.5
SLV,2014,9.86
SLV,2013,10.22
SLV,2012,10.58
SLV,2011,10.940000000000001
SLV,2010,11.3
SLV,2009,11.72
SLV,2008,12.14
SLV,2007,12.56
SLV,2006,12.98
SLV,2005,13.4
SLV,2004,13.9
SLV,2003,14.4
SLV,2002,14.9
SLV,2001,15.4
SLV,2000,15.9
ECU,2020,11.3
ECU,2019,11.6
ECU,2018,11.6
ECU,2017,12.0
ECU,2016,12.4
ECU,2015,12.8
ECU,2014,13.14
ECU,2013,13.48
ECU,2012,13.82
ECU,2011,14.16
ECU,2010,14.5
ECU,2009,14.84
ECU,2008,15.18
ECU,2007,15.52
ECU,2006,15.86
ECU,2005,16.2
ECU,2004,16.64
ECU,2003,17.08
ECU,2002,17.52
ECU,2001,17.959999999999997
ECU,2000,18.4
DOM,2020,10.6
DOM,2019,10.9
DOM,2018,10.9
DOM,2017,11.333333333333334
DOM,2016,11.766666666666666
DOM,2015,12.2
DOM,2014,12.54
DOM,2013,12.879999999999999
DOM,2012,13.219999999999999
DOM,2011,13.56
DOM,2010,13.9
DOM,2009,14.34
DOM,2008,14.780000000000001
DOM,2007,15.22
DOM,2006,15.660000000000002
DOM,2005,16.1
DOM,2004,16.62
DOM,2003,17.14
DOM,2002,17.66
DOM,2001,18.18
DOM,2000,18.7
DMA,2020,8.5
DMA,2019,8.5
DMA,2018,8.5
DMA,2017,8.6
DMA,2016,8.7
DMA,2015,8.8
DMA,2014,8.88
DMA,2013,8.96
DMA,2012,9.04
DMA,2011,9.12
DMA,2010,9.2
DMA,2009,9.3
DMA,2008,9.4
DMA,2007,9.5
DMA,2006,9.6
DMA,2005,9.7
DMA,2004,9.8
DMA,2003,9.9
DMA,2002,10.0
DMA,2001,10.1
DMA,2000,10.2
CUB,2020,17.9
CUB,2019,18.7
CUB,2018,18.7
CUB,2017,19.8
CUB,2016,20.9
CUB,2015,22.0
CUB,2014,23.0
CUB,2013,24.0
CUB,2012,25.0
CUB,2011,26.0
CUB,2010,27.0
CUB,2009,28.240000000000002
CUB,2008,29.48
CUB,2007,30.720000000000002
CUB,2006,31.96
CUB,2005,33.2
CUB,2004,34.72
CUB,2003,36.24
CUB,2002,37.76
CUB,2001,39.28
CUB,2000,40.8
CRI,2020,8.8
CRI,2019,9.1
CRI,2018,9.1
CRI,2017,9.566666666666666
CRI,2016,10.033333333333333
CRI,2015,10.5
CRI,2014,10.92
CRI,2013,11.34
CRI,2012,11.76
CRI,2011,12.18
CRI,2010,12.6
CRI,2009,13.08
CRI,2008,13.56
CRI,2007,14.04
CRI,2006,14.52
CRI,2005,15.0
CRI,2004,15.6
CRI,2003,16.2
CRI,2002,16.8
CRI,2001,17.4
CRI,2000,18.0
COL,2020,8.5
COL,2019,8.8
COL,2018,8.8
COL,2017,9.166666666666668
COL,2016,9.533333333333333
COL,2015,9.9
COL,2014,10.200000000000001
COL,2013,10.5
COL,2012,10.8
COL,2011,11.1
COL,2010,11.4
COL,2009,11.76
COL,2008,12.12
COL,2007,12.48
COL,2006,12.84
COL,2005,13.2
COL,2004,13.58
COL,2003,13.959999999999999
COL,2002,14.34
COL,2001,14.719999999999999
COL,2000,15.1
CHL,2020,29.2
CHL,2019,29.9
CHL,2018,29.9
CHL,2017,30.9
CHL,2016,31.9
CHL,2015,32.9
CHL,2014,33.74
CHL,2013,34.58
CHL,2012,35.42
CHL,2011,36.26
CHL,2010,37.1
CHL,2009,38.02
CHL,2008,38.940000000000005
CHL,2007,39.86
CHL,2006,40.78
CHL,2005,41.7
CHL,2004,42.74
CHL,2003,43.78
CHL,2002,44.82
CHL,2001,45.86
CHL,2000,46.9
CAN,2020,13.0
CAN,2019,13.6
CAN,2018,13.6
CAN,2017,14.333333333333334
CAN,2016,15.066666666666666
CAN,2015,15.8
CAN,2014,16.5
CAN,2013,17.2
CAN,2012,17.9
CAN,2011,18.6
CAN,2010,19.3
CAN,2009,20.1
CAN,2008,20.900000000000002
CAN,2007,21.700000000000003
CAN,2006,22.5
CAN,2005,23.3
CAN,2004,24.32
CAN,2003,25.34
CAN,2002,26.36
CAN,2001,27.38
CAN,2000,28.4
BRA,2020,12.8
BRA,2019,13.2
BRA,2018,13.2
BRA,2017,13.766666666666666
BRA,2016,14.333333333333334
BRA,2015,14.9
BRA,2014,15.4
BRA,2013,15.9
BRA,2012,16.4
BRA,2011,16.9
BRA,2010,17.4
BRA,2009,18.0
BRA,2008,18.599999999999998
BRA,2007,19.2
BRA,2006,19.799999999999997
BRA,2005,20.4
BRA,2004,21.08
BRA,2003,21.759999999999998
BRA,2002,22.439999999999998
BRA,2001,23.12
BRA,2000,23.8
BOL,2020,12.7
BOL,2019,13.2
BOL,2018,13.2
BOL,2017,14.0
BOL,2016,14.799999999999999
BOL,2015,15.6
BOL,2014,16.38
BOL,2013,17.16
BOL,2012,17.939999999999998
BOL,2011,18.72
BOL,2010,19.5
BOL,2009,20.58
BOL,2008,21.66
BOL,2007,22.74
BOL,2006,23.82
BOL,2005,24.9
BOL,2004,26.34
BOL,2003,27.78
BOL,2002,29.22
BOL,2001,30.66
BOL,2000,32.1
BLZ,2020,8.5
BLZ,2019,8.8
BLZ,2018,8.8
BLZ,2017,9.1
BLZ,2016,9.4
BLZ,2015,9.7
BLZ,2014,10.02
BLZ,2013,10.34
BLZ,2012,10.66
BLZ,2011,10.98
BLZ,2010,11.3
BLZ,2009,11.64
BLZ,2008,11.98
BLZ,2007,12.32
BLZ,2006,12.66
BLZ,2005,13.0
BLZ,2004,13.4
BLZ,2003,13.8
BLZ,2002,14.2
BLZ,2001,14.6
BLZ,2000,15.0
BRB,2020,8.5
BRB,2019,8.5
BRB,2018,8.5
BRB,2017,8.6
BRB,2016,8.700000000000001
BRB,2015,8.8
BRB,2014,8.88
BRB,2013,8.96
BRB,2012,9.04
BRB,2011,9.12
BRB,2010,9.2
BRB,2009,9.299999999999999
BRB,2008,9.399999999999999
BRB,2007,9.5
BRB,2006,9.6
BRB,2005,9.7
BRB,2004,9.799999999999999
BRB,2003,9.899999999999999
BRB,2002,10.0
BRB,2001,10.1
BRB,2000,10.2
ARG,2020,24.5
ARG,2019,24.9
ARG,2018,24.9
ARG,2017,25.466666666666665
ARG,2016,26.033333333333335
ARG,2015,26.6
ARG,2014,27.060000000000002
ARG,2013,27.52
ARG,2012,27.98
ARG,2011,28.439999999999998
ARG,2010,28.9
ARG,2009,29.419999999999998
ARG,2008,29.939999999999998
ARG,2007,30.46
ARG,2006,30.98
ARG,2005,31.5
ARG,2004,32.0
ARG,2003,32.5
ARG,2002,33.0
ARG,2001,33.5
ARG,2000,34.0
ATG,2020,8.5
ATG,2019,8.5
ATG,2018,8.5
ATG,2017,8.6
ATG,2016,8.7
ATG,2015,8.8
ATG,2014,8.88
ATG,2013,8.96
ATG,2012,9.04
ATG,2011,9.12
ATG,2010,9.2
ATG,2009,9.3
ATG,2008,9.4
ATG,2007,9.5
ATG,2006,9.6
ATG,2005,9.7
ATG,2004,9.8
ATG,2003,9.9
ATG,2002,10.0
ATG,2001,10.1
ATG,2000,10.2
