id_pais,year,produccion_alimentos
JAM,2019,104.83
JAM,2018,105.73
JAM,2017,102.98
JAM,2016,104.33
JAM,2015,97.71
JAM,2014,97.96
JAM,2013,96.65
JAM,2012,97.09
JAM,2011,94.83
JAM,2010,89.66
JAM,2009,95.6
JAM,2008,93.13
JAM,2007,97.36
JAM,2006,97.77
JAM,2005,93.27
JAM,2004,98.79
JAM,2003,102.02
JAM,2002,97.36
JAM,2001,98.6
JAM,2000,94.77
HND,2020,103.58
HND,2019,106.0
HND,2018,106.84
HND,2017,105.67
HND,2016,104.75
HND,2015,100.1
HND,2014,95.15
HND,2013,102.45
HND,2012,103.67
HND,2011,100.75
HND,2010,96.29
HND,2009,100.1
HND,2008,104.12
HND,2007,100.91
HND,2006,95.58
HND,2005,98.79
HND,2004,93.35
HND,2003,88.84
HND,2002,78.73
HND,2001,70.18
HND,2000,67.91
HTI,2020,78.2
HTI,2019,81.93
HTI,2018,90.42
HTI,2017,92.78
HTI,2016,96.35
HTI,2015,100.28
HTI,2014,103.38
HTI,2013,100.71
HTI,2012,94.86
HTI,2011,93.96
HTI,2010,88.89
HTI,2009,83.77
HTI,2008,73.65
HTI,2007,75.3
HTI,2006,69.57
HTI,2005,69.9
HTI,2004,67.05
HTI,2003,65.59
HTI,2002,64.76
HTI,2001,63.84
HTI,2000,65.32
GUY,2020,113.75
GUY,2019,110.08
GUY,2018,132.06
GUY,2017,106.69
GUY,2016,99.17
GUY,2015,109.27
GUY,2014,91.56
GUY,2013,92.05
GUY,2012,80.65
GUY,2011,80.97
GUY,2010,76.35
GUY,2009,75.41
GUY,2008,69.56
GUY,2007,69.98
GUY,2006,69.24
GUY,2005,66.57
GUY,2004,76.52
GUY,2003,77.28
GUY,2002,71.57
GUY,2001,71.95
GUY,2000,68.64
GTM,2020,106.62
GTM,2019,104.83
GTM,2018,102.95
GTM,2017,101.01
GTM,2016,103.34
GTM,2015,100.51
GTM,2014,96.15
GTM,2013,88.18
GTM,2012,83.15
GTM,2011,77.71
GTM,2010,75.55
GTM,2009,75.71
GTM,2008,70.15
GTM,2007,69.58
GTM,2006,63.53
GTM,2005,61.56
GTM,2004,59.74
GTM,2003,57.42
GTM,2002,55.97
GTM,2001,51.07
GTM,2000,45.94
GRD,2020,91.56
GRD,2019,92.58
GRD,2018,95.93
GRD,2017,93.88
GRD,2016,100.46
GRD,2015,103.76
GRD,2014,95.78
GRD,2013,84.42
GRD,2012,82.39
GRD,2011,80.83
